UID,PCLDEND6,RDDEN,SAGESAND0,SDENSTR,SDIASTRD8,ZSCORE,ZTRANS,ODDS,p,HISTORICAL,L2020,L2050,U2020,U2050,ZOU,CHK
106,0,0.066233,0.0,0.0627006485494,0.0,1.21291470944,-0.416145875744,3.71828131499,0.788058419318,0.788058419318,0.846363705324,0.846570674452,0.897295162764,0.896456426261,0,0
113,0,0.025697,0.0,0.025649462861,0.0,0.546276193827,-0.561961331892,1.57421263592,0.611531702531,0.611531702531,0.69990694421,0.700241333388,0.787181529556,0.785658359077,0,0
114,0,0.04207,0.0,0.0193724968427,4.5e-05,-0.402646549557,-0.814863372689,0.354526978561,0.261734896515,0.261734896515,0.344371954162,0.344731610034,0.454449957426,0.452202595054,0,0
118,0,0.097542,0.0,0.0373199342199,0.037319,-3.69929817155,-8.91582923712,6.48128313873e-22,6.48128313873e-22,6.48128313873e-22,9.60244783957e-22,9.61775244435e-22,1.5228712154e-21,1.5091235091e-21,0,0
121,0,0.030497,0.0,0.0229547693373,0.012895,-0.58771624791,-0.872621375841,0.252227394948,0.201422997105,0.201422997105,0.272034513128,0.272350003928,0.372113584685,0.369997246637,0,0
134,0,0.029394,0.0,0.00967673795678,0.0,-0.500128273403,-0.844870056567,0.297053020448,0.229021493929,0.229021493929,0.305605520261,0.305943582085,0.411061109517,0.408867505206,0,0
145,0,0.06475,0.0,0.0657146144819,0.0,1.43852198319,-0.371250446895,4.84475542814,0.828906442315,0.828906442315,0.877718086224,0.877888910786,0.919247083052,0.918571347803,0,0
148,0,0.035661,0.0,0.058087464518,0.010569,1.38294368191,-0.382124739951,4.54395809795,0.819623456323,0.819623456323,0.87067025341,0.870849474884,0.914359268168,0.913646474205,0,0
156,0,0.085087,0.0,0.0736645568586,0.049076,-1.90981082463,-1.42558611449,0.00968803240085,0.00959507500333,0.00959507500333,0.0141503515956,0.0141725851186,0.0222567923439,0.0220603017717,0,0
166,0,0.023921,0.0,0.0146712032863,0.0,-0.0181667242147,-0.704582175978,0.679145081556,0.404458845764,0.404458845764,0.501544754701,0.501942888457,0.614754828012,0.612604903881,0,0
167,0,0.048272,0.0,0.0239570421597,0.0,-0.359868369334,-0.801974476126,0.382511145542,0.276678525721,0.276678525721,0.361722004598,0.362089773206,0.473341955115,0.471081840071,0,0
174,0,0.030991,0.0,0.0331621359,0.00795,0.288333150098,-0.624625813235,1.08804302257,0.521082664874,0.521082664874,0.617152692382,0.617528903314,0.718825829638,0.71698931849,0,0
184,0,0.038144,0.0,0.0861355484516,0.0,3.56071519502,-0.025554556866,37.173432874,0.973803770719,0.973803770719,0.982166705708,0.982194578317,0.988680657909,0.988578719487,0,0
