"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"126","46","5","6","5","140","T5_75MN"
"127","47","5","7","1","6","BLDADEND5"
"128","47","5","7","2","64","SAGESTR3"
"129","47","5","7","3","78","SDENSAND10"
"130","47","5","7","4","139","T5_50SD"
"131","47","5","7","5","140","T5_75MN"
"132","48","5","8","1","6","BLDADEND5"
"133","48","5","8","2","77","SDENSAN"
"134","48","5","8","3","78","SDENSAND10"
"135","48","5","8","4","123","SPAGESTR3"
"136","48","5","8","5","128","SPDIASTR2"
"137","49","5","9","1","46","RDDEND1"
"138","49","5","9","2","95","SDIASTRD7"
"139","49","5","9","3","110","SLOPSAND6"
"140","49","5","9","4","117","SPAGESAN1"
"141","49","5","9","5","128","SPDIASTR2"
"142","50","5","10","1","1","BLDADEN"
"143","50","5","10","2","95","SDIASTRD7"
"144","50","5","10","3","128","SPDIASTR2"
"145","50","5","10","4","175","T10_850SD"
"146","50","5","10","5","189","T20_1300SD"
"147","51","6","1","1","39","PCLDEND4"
"148","51","6","1","2","46","RDDEND1"
"149","51","6","1","3","54","SAGESAND0"
"150","51","6","1","4","78","SDENSAND10"
"151","51","6","1","5","115","SLOPSTR1"
"152","51","6","1","6","128","SPDIASTR2"
"153","52","6","2","1","14","BLDDEND2"
"154","52","6","2","2","35","PCLDEND0"
"155","52","6","2","3","39","PCLDEND4"
"156","52","6","2","4","46","RDDEND1"
"157","52","6","2","5","123","SPAGESTR3"
"158","52","6","2","6","128","SPDIASTR2"
"159","53","6","3","1","19","BLDDEND7"
"160","53","6","3","2","36","PCLDEND1"
"161","53","6","3","3","37","PCLDEND2"
"162","53","6","3","4","46","RDDEND1"
"163","53","6","3","5","123","SPAGESTR3"
"164","53","6","3","6","128","SPDIASTR2"
"165","54","6","4","1","1","BLDADEN"
"166","54","6","4","2","95","SDIASTRD7"
"167","54","6","4","3","110","SLOPSAND6"
"168","54","6","4","4","128","SPDIASTR2"
"169","54","6","4","5","175","T10_850SD"
"170","54","6","4","6","189","T20_1300SD"
"171","55","6","5","1","1","BLDADEN"
"172","55","6","5","2","78","SDENSAND10"
"173","55","6","5","3","115","SLOPSTR1"
"174","55","6","5","4","128","SPDIASTR2"
"175","55","6","5","5","138","T5_50MN"
"176","55","6","5","6","139","T5_50SD"
"177","56","6","6","1","46","RDDEND1"
"178","56","6","6","2","94","SDIASTRD4"
