"VARNAME1","VARNAME2","CORCOEF"
"BLDADEND5","BLDADEN",0.260719910425579
"BLDADEND5","BLDADEND1",-0.21803256715353
"BLDADEND5","BLDADEND5",1
"BLDADEND5","BLDADEND8",-0.0256579002895393
"BLDADEND5","BLDDEND2",-0.0501957806053869
"BLDADEND5","BLDDEND7",-0.0256579002895393
"BLDADEND5","PCLDEN",0.114226927777451
"BLDADEND5","PCLDEND0",0.0449013255066937
"BLDADEND5","PCLDEND1",-0.147634648839373
"BLDADEND5","PCLDEND2",-0.155542754209564
"BLDADEND5","PCLDEND4",0.314309278546856
"BLDADEND5","PCLDEND5",0.202055964780122
"BLDADEND5","PCLDEND6",-0.0256579002895393
"BLDADEND5","RDDEND0",0.248007936380948
"BLDADEND5","RDDEND1",-0.234767213945645
"BLDADEND5","RDDEND2",-0.0256579002895393
"BLDADEND5","SAGESAND0",0.221096819336635
"BLDADEND5","SAGESAND1",-0.00854111517122111
"BLDADEND5","SAGESAND5",-0.0722605752519668
"BLDADEND5","SAGESTR3",0.0306265489562065
"BLDADEND5","SAGESTRD10",-0.0256579002895393
"BLDADEND5","SDENSAN",0.058902425139958
"BLDADEND5","SDENSAND10",0.00740679781950304
"BLDADEND5","SDENSTR",0.0714490929578217
"BLDADEND5","SDIASTR2",0.259128850357819
"BLDADEND5","SDIASTR3",0.0323792209019547
"BLDADEND5","SDIASTRD0",-0.0362362783619474
"BLDADEND5","SDIASTRD4",0.236814730909464
"BLDADEND5","SDIASTRD7",0.102295520195338
"BLDADEND5","SDIASTRD8",-0.0873564883491537
"BLDADEND5","SLOPSAN4",0.214749044902345
"BLDADEND5","SLOPSAND1",0.160455814102683
"BLDADEND5","SLOPSAND6",-0.0462531781520313
"BLDADEND5","SLOPSTR1",0.0714490929578213
"BLDADEND5","SLOPSTRD0",0.0714438144104625
"BLDADEND5","SPAGESAN1",-0.0364723109301103
"BLDADEND5","SPAGESTR3",0.0645161290322581
"BLDADEND5","SPDIASTR2",0.0604888488592748
"BLDADEND5","T10_1000MN",0.0541038310059939
"BLDADEND5","T10_1000SD",0.103632207811926
"BLDADEND5","T10_250SD",0.0874237660582378
"BLDADEND5","T10_400SD",0.0956396272927799
"BLDADEND5","T10_450MN",0.0479313805014208
"BLDADEND5","T10_450SD",0.0961691851630795
"BLDADEND5","T10_650SD",0.100301203739378
"BLDADEND5","T10_700SD",0.0953359925068865
"BLDADEND5","T10_850SD",0.0894716459120864
"BLDADEND5","T10_950SD",0.104032582114815
"BLDADEND5","T20_1000MN",0.0536861569788831
"BLDADEND5","T20_1000SD",0.103606975675517
"BLDADEND5","T20_1100SD",0.108799125662032
"BLDADEND5","T20_1200SD",0.108398953385065
"BLDADEND5","T20_1300SD",0.107766205627899
"BLDADEND5","T20_1600SD",0.0446808258634549
"BLDADEND5","T20_1700SD",0.0426401713588837
"BLDADEND5","T20_1800SD",0.0444727143279672
"BLDADEND5","T20_1900SD",0.0427378424162547
"BLDADEND5","T20_2000SD",0.0413081093022126
"BLDADEND5","T5_100MN",0.0656414863991939
"BLDADEND5","T5_50MN",0.119530484690115
"BLDADEND5","T5_50SD",0.0529213874525148
"BLDADEND5","T5_75MN",0.089853375818656
"BLDADEND8","BLDADEN",0.245426440808967
"BLDADEND8","BLDADEND1",-0.086710996952412
"BLDADEND8","BLDADEND5",-0.0256579002895393
"BLDADEND8","BLDADEND8",1
"BLDADEND8","BLDDEND2",-0.0587139240376276
"BLDADEND8","BLDDEND7",-0.0102040816326531
"BLDADEND8","PCLDEN",0.230669961903863
"BLDADEND8","PCLDEND0",-0.0357142857142857
"BLDADEND8","PCLDEND1",-0.0587139240376276
"BLDADEND8","PCLDEND2",-0.0618589574131742
"BLDADEND8","PCLDEND4",-0.0357142857142857
"BLDADEND8","PCLDEND5",-0.0178571428571429
"BLDADEND8","PCLDEND6",1
"BLDADEND8","RDDEND0",0.133630620956212
"BLDADEND8","RDDEND1",-0.127985297222174
"BLDADEND8","RDDEND2",-0.0102040816326531
"BLDADEND8","SAGESAND0",-0.0216599754396134
"BLDADEND8","SAGESAND1",-0.0228883821741766
"BLDADEND8","SAGESAND5",-0.0591187590744102
"BLDADEND8","SAGESTR3",0.292282787138552
"BLDADEND8","SAGESTRD10",-0.0102040816326531
"BLDADEND8","SDENSAN",0.24353153774028
"BLDADEND8","SDENSAND10",0.229761841820361
"BLDADEND8","SDENSTR",0.285469100742787
"BLDADEND8","SDIASTR2",-0.087372407575149
"BLDADEND8","SDIASTR3",-0.0452938009251177
"BLDADEND8","SDIASTRD0",-0.01441107566466
"BLDADEND8","SDIASTRD4",-0.0691735175160624
"BLDADEND8","SDIASTRD7",-0.0541903316169332
"BLDADEND8","SDIASTRD8",-0.0425380969336774
"BLDADEND8","SLOPSAN4",-0.0465284718204117
"BLDADEND8","SLOPSAND1",-0.0455440740299423
"BLDADEND8","SLOPSAND6",-0.0487228934158348
"BLDADEND8","SLOPSTR1",0.285469100742787
"BLDADEND8","SLOPSTRD0",0.285471622744864
"BLDADEND8","SPAGESAN1",-0.0145049452161946
"BLDADEND8","SPAGESTR3",0.0256579002895393
"BLDADEND8","SPDIASTR2",-0.164957219768465
"BLDADEND8","T10_1000MN",0.079895866106195
"BLDADEND8","T10_1000SD",0.063195459728353
"BLDADEND8","T10_250SD",0.113566335154996
"BLDADEND8","T10_400SD",0.093438799294856
"BLDADEND8","T10_450MN",0.0854929743074602
"BLDADEND8","T10_450SD",0.0868907838141127
"BLDADEND8","T10_650SD",0.0709469529626763
"BLDADEND8","T10_700SD",0.0667349142856485
"BLDADEND8","T10_850SD",0.0597114233671324
"BLDADEND8","T10_950SD",0.0636892710437759
"BLDADEND8","T20_1000MN",0.0798863983174688
"BLDADEND8","T20_1000SD",0.0631809592152577
"BLDADEND8","T20_1100SD",0.0647315457986537
"BLDADEND8","T20_1200SD",0.0643751343061795
"BLDADEND8","T20_1300SD",0.0641920682621806
"BLDADEND8","T20_1600SD",0.0700196162530207
"BLDADEND8","T20_1700SD",0.0703181421445128
"BLDADEND8","T20_1800SD",0.0719423256628491
"BLDADEND8","T20_1900SD",0.0723136727449847
"BLDADEND8","T20_2000SD",0.0726965801556284
"BLDADEND8","T5_100MN",0.207604982126586
"BLDADEND8","T5_50MN",0.348673987650182
"BLDADEND8","T5_50SD",0.186396766973184
"BLDADEND8","T5_75MN",0.266582073924094
"BLDDEND2","BLDADEN",0.00296631256287349
"BLDDEND2","BLDADEND1",-0.0285104001744289
"BLDDEND2","BLDADEND5",-0.0501957806053869
"BLDDEND2","BLDADEND8",-0.0587139240376276
"BLDDEND2","BLDDEND2",1
"BLDDEND2","BLDDEND7",-0.0587139240376276
"BLDDEND2","PCLDEN",0.184972258398694
"BLDDEND2","PCLDEND0",-0.205498734131697
"BLDDEND2","PCLDEND1",0.0902702702702703
"BLDDEND2","PCLDEND2",-0.0949157995752499
"BLDDEND2","PCLDEND4",-0.131519189844286
"BLDDEND2","PCLDEND5",0.0328797974610715
"BLDDEND2","PCLDEND6",-0.0587139240376276
"BLDDEND2","RDDEND0",-0.149387423555674
"BLDDEND2","RDDEND1",0.171912484941722
"BLDDEND2","RDDEND2",-0.0587139240376276
"BLDDEND2","SAGESAND0",0.0218036777052577
"BLDDEND2","SAGESAND1",-0.114548127137139
"BLDDEND2","SAGESAND5",-0.0074653935007448
"BLDDEND2","SAGESTR3",-0.0439737797167783
"BLDDEND2","SAGESTRD10",-0.0587139240376276
"BLDDEND2","SDENSAN",-0.0470352648927072
"BLDDEND2","SDENSAND10",-0.0203390999089821
"BLDDEND2","SDENSTR",-0.0194152013319728
"BLDDEND2","SDIASTR2",0.244996171824857
"BLDDEND2","SDIASTR3",-0.0750660281133295
"BLDDEND2","SDIASTRD0",-0.0829208185837842
"BLDDEND2","SDIASTRD4",0.262999469786647
"BLDDEND2","SDIASTRD7",-0.0528340232735273
"BLDDEND2","SDIASTRD8",-0.0298442971194634
"BLDDEND2","SLOPSAN4",-0.0439238792346009
"BLDDEND2","SLOPSAND1",0.032901945049753
"BLDDEND2","SLOPSAND6",0.00713210393482042
"BLDDEND2","SLOPSTR1",-0.019415201331973
"BLDDEND2","SLOPSTRD0",-0.0194203532660362
"BLDDEND2","SPAGESAN1",-0.0834609406561725
"BLDDEND2","SPAGESTR3",-0.242120824096572
"BLDDEND2","SPDIASTR2",0.0949157995752499
"BLDDEND2","T10_1000MN",0.240887240833812
"BLDDEND2","T10_1000SD",0.174940498850562
"BLDDEND2","T10_250SD",0.192774804640388
"BLDDEND2","T10_400SD",0.215879290925622
"BLDDEND2","T10_450MN",0.233167390554831
"BLDDEND2","T10_450SD",0.216243006627536
"BLDDEND2","T10_650SD",0.209548876637013
