TVID,VARNAME,XVARSEL
965,WLAKCH500,N
761,SPAGECOM2,X
468,RDDEN,X
969,WLAKCV20,N
451,OPIP,X
170,ISTPCVNEG,N
762,SPAGECOM3,X
144,ISAPCDH,N
160,ISTPCDV,N
757,SPAGE4,N
222,L110,X
223,L111,X
658,SDIASTRD1,X
657,SDIASTRD0,X
660,SDIASTRD3,X
659,SDIASTRD2,X
662,SDIASTRD5,X
661,SDIASTRD4,N
463,PCLDEND8,X
464,PCLDEND9,X
461,PCLDEND6,X
665,SDIASTRD8,X
459,PCLDEND4,X
460,PCLDEND5,X
904,T10_550MN,N
458,PCLDEND3,X
479,RDDEND10,X
456,PCLDEND1,X
65,FLDDGNPROP,X
502,SAGECOMD8,X
503,SAGECOMD9,X
864,SSH12,X
496,SAGECOMD2,X
497,SAGECOMD3,X
494,SAGECOMD0,X
495,SAGECOMD1,X
500,SAGECOMD6,X
501,SAGECOMD7,X
498,SAGECOMD4,X
958,WCH500,N
513,SAGED8,N
120,HSLWCVNEG,N
307,L410,X
787,SPDIA3,N
673,SLOP5,N
672,SLOP4,N
1016,WOCECVNEG,N
238,L190,X
669,SLOP1,N
668,SLOP0,N
671,SLOP3,N
670,SLOP2,N
945,T20_2000SD,N
789,SPDIA5,N
42,BLDP,X
1071,WSTRCH500P,N
933,T20_1400SD,X
738,SLOPSTR2,X
237,L181,X
894,T10_300MN,X
1019,WOCEP,X
1063,WRIVEDV,N
219,L062,X
878,T5_25MN,N
1011,WOCECH500P,N
218,L061,X
617,SDIAOTH3,X
1043,WRESCV10,N
927,T20_1100SD,N
491,SAGECOM3,X
57,CLTOT31P,N
102,HBNKEDV,N
832,SPSLPCOM4,X
314,L418,X
403,MCULCDH,N
305,L408,X
205,L047,X
123,HSLWP,X
881,T5_50SD,X
909,T10_650SD,N
976,WLLKCDV,N
137,IOTHCV10,N
289,L276,X
888,T5_200MN,N
406,MCULCH100,N
84,GWTRTB1YB,X
515,SAGED10,N
575,SDENSAND10,X
373,L601,X
113,HSLWCH200,N
8,BLDADEND1,X
340,L449,X
587,SDIACOM2,X
588,SDIACOM3,X
1089,WWETCV20,N
586,SDIACOM1,X
46,CLPRD31CNT,N
364,L525,X
589,SDIACOM4,X
590,SDIACOM5,X
569,SDENCOM,X
883,T5_75SD,N
413,MCULCV20P,N
115,HSLWCH500P,N
1056,WRIVCH500P,N
180,ITRECH500P,N
972,WLAKEDH,N
805,SPDIASAN0,X
806,SPDIASAN1,X
811,SPDIASAN6,X
56,CLTOT31CNT,N
809,SPDIASAN4,X
810,SPDIASAN5,X
393,LMULTIFAM,X
592,SDIACOMD0,X
519,SAGEOTH3,X
518,SAGEOTH2,X
521,SAGEOTH5,X
520,SAGEOTH4,X
903,T10_500SD,N
690,SLOPCOMD10,X
16,BLDADEND9,N
155,ISAPCVNEG,N
1035,WRESCDH,N
73,GAWHC6,X
29,BLDDEND4,X
182,ITRECV10,N
845,SPSLPSAN5,X
844,SPSLPSAN4,X
843,SPSLPSAN3,X
842,SPSLPSAN2,X
841,SPSLPSAN1,X
887,T5_150SD,X
1051,WRIVCDV,N
897,T10_350SD,X
357,L488,X
335,L444,X
930,T20_1300MN,N
3,MRATID,N
356,L480,X
822,SPSLP0,N
764,SPAGECOM5,X
386,L642,X
385,L640,X
857,SSH5,X
718,SLOPOTHD10,X
1023,WOTHCH100,N
443,MOTHCV20P,N
338,L447,X
1050,WRIVCDH,N
41,BLDHTSTD,X
947,TFLOWDIR,N
186,ITREEDH,N
995,WLRVCH500,N
758,SPAGE5,N
988,WLLKEDV,N
414,MCULCVNEG,N
753,SPAGE0,N
900,T10_450MN,N
755,SPAGE2,N
756,SPAGE3,N
987,WLLKEDH,N
62,CLTOTUKCNT,N
187,ITREEDV,N
794,SPDIACOM3,X
242,L202,X
243,L203,X
240,L200,X
241,L201,X
246,L206,X
512,SAGED7,N
509,SAGED4,N
510,SAGED5,N
991,WLRVCDV,N
247,L208,X
514,SAGED9,N
183,ITRECV20,N
313,L417,X
312,L416,X
311,L415,X
310,L414,X
309,L413,X
308,L412,X
990,WLRVCDH,N
620,SDIAOTH6,X
492,SAGECOM4,X
618,SDIAOTH4,X
892,T10_250MN,X
489,SAGECOM1,X
488,SAGECOM0,X
315,L419,X
490,SAGECOM2,X
701,SLOPD10,N
169,ISTPCV20P,N
1009,WOCECH200,N
689,SLOPCOMD9,X
366,L540,X
171,ISTPEDH,N
915,T10_800SD,N
824,SPSLP2,N
825,SPSLP3,N
1028,WOTHCV10,N
823,SPSLP1,N
229,L141,X
228,L140,X
826,SPSLP4,N
827,SPSLP5,N
5,POSTALCODE,N
1086,WWETCH500P,N
817,SPDIASTR5,X
92,HBNKCH100,N
192,L020,X
899,T10_400SD,N
731,SLOPSAND6,X
1024,WOTHCH200,N
664,SDIASTRD7,X
82,GDRAIN6P,X
906,T10_600MN,N
70,GAWHC3,X
68,GAWHC1,X
457,PCLDEND2,X
412,MCULCV20,N
973,WLAKEDV,N
919,T10_900SD,N
1045,WRESCV20P,N
333,L442,X
1070,WSTRCH500,N
172,ISTPEDV,N
524,SAGEOTHD2,X
112,HSLWCH100,N
408,MCULCH500,N
1034,WOTHP,X
977,WLLKCH050,N
981,WLLKCH500P,N
178,ITRECH200,N
860,SSH8,X
324,L431,X
363,L520,X
750,SLOPSTRD8,X
751,SLOPSTRD9,X
773,SPAGESAN2,X
649,SDIASAND10,X
742,SLOPSTRD0,N
743,SLOPSTRD1,X
744,SLOPSTRD2,X
745,SLOPSTRD3,X
746,SLOPSTRD4,X
747,SLOPSTRD5,X
748,SLOPSTRD6,X
749,SLOPSTRD7,X
951,TROUGHNESS,N
175,ITRECDV,N
163,ISTPCH200,N
861,SSH9,X
285,L272,X
453,PCLCNT,N
86,GWTRTB3YN,X
1000,WLRVCV20P,N
962,WLAKCH050,N
154,ISAPCV20P,N
418,MDITCDH,N
889,T5_200SD,X
432,MDITP,X
1076,WSTRCVNEG,N
925,T20_1000SD,N
166,ISTPCV05,N
25,BLDDEND0,X
926,T20_1100MN,N
419,MDITCDV,N
1062,WRIVEDH,N
1088,WWETCV10,N
372,L600,X
937,T20_1600SD,N
663,SDIASTRD6,X
131,IOTHCH050,N
666,SDIASTRD9,X
462,PCLDEND7,X
601,SDIACOMD9,X
934,T20_1500MN,N
427,MDITCV20,N
1014,WOCECV20,N
132,IOTHCH100,N
148,ISAPCH200,N
439,MOTHCH500P,N
913,T10_750SD,N
1031,WOTHCVNEG,N
66,FLDP,X
17,BLDADEND10,X
455,PCLDEND0,X
274,L240,X
13,BLDADEND6,X
105,HCH100,N
1057,WRIVCV05,N
1069,WSTRCH200,N
430,MDITEDH,N
206,L049,X
118,HSLWCV20,N
786,SPDIA2,N
997,WLRVCV05,N
55,CLTOT30P,N
1025,WOTHCH500,N
818,SPDIASTR6,X
734,SLOPSAND9,X
733,SLOPSAND8,X
815,SPDIASTR3,X
814,SPDIASTR2,X
813,SPDIASTR1,N
362,L515,X
728,SLOPSAND3,X
727,SLOPSAND2,X
726,SLOPSAND1,X
725,SLOPSAND0,X
732,SLOPSAND7,X
344,L456,X
730,SLOPSAND5,X
729,SLOPSAND4,X
271,L237,X
1096,SPDIASTRC,X
481,RDP,X
1091,WWETCVNEG,N
943,T20_1900SD,N
111,HSLWCH050,N
802,SPDIAOTH4,X
395,MANCOMP,N
791,SPDIACOM0,X
24,BLDDEN,X
576,SDENSTR,X
781,SPAGESTR4,N
567,SCOMZERO,X
788,SPDIA4,N
535,SAGESAN2,N
536,SAGESAN3,N
533,SAGESAN0,X
534,SAGESAN1,N
537,SAGESAN4,N
629,SDIAOTHD8,X
628,SDIAOTHD7,X
627,SDIAOTHD6,X
626,SDIAOTHD5,X
499,SAGECOMD5,X
624,SDIAOTHD3,X
623,SDIAOTHD2,X
622,SDIAOTHD1,X
621,SDIAOTHD0,X
1048,WRESEDV,N
270,L236,X
397,MANSTRP,N
95,HBNKCH500P,N
989,WLLKP,X
713,SLOPOTHD5,X
98,HBNKCV20,N
893,T10_250SD,N
273,L239,X
992,WLRVCH050,N
272,L238,X
