VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3
10,VRI_BPH_PL,LN4,-0.055291809
10,VRI_BPH_SX,LN4,-0.100838722
10,VRI_HT_FD,LN4,0.020619212
11,B4_MEAN,LN1,0.001790836
11,B5_STDEV,LN1,-0.02501767
11,LVI_NDVI73M,LN1,0.000385297
11,LVI_WETM,LN1,-0.033639988
11,MSxv,LN1,0.0404236
11,SBSdw,LN1,-2.077502763
11,VRI_BPH_PL,LN1,-0.0027373
11,VRI_BPH_SX,LN1,0.002906607
11,VRI_HT_FD,LN1,-0.317863042
11,B4_MEAN,LN2,0.007811553
11,B5_STDEV,LN2,0.244343102
11,LVI_NDVI73M,LN2,-0.000954773
11,LVI_WETM,LN2,0.396323559
11,MSxv,LN2,0.458873625
11,SBSdw,LN2,-0.466299029
11,VRI_BPH_PL,LN2,0.003873463
11,VRI_BPH_SX,LN2,0.057233455
11,VRI_HT_FD,LN2,-0.071113892
11,B4_MEAN,LN3,0.028003681
11,B5_STDEV,LN3,-0.12254172
11,LVI_NDVI73M,LN3,-0.001876662
11,LVI_WETM,LN3,-0.159336438
11,MSxv,LN3,1.676961961
11,SBSdw,LN3,0.371639909
11,VRI_BPH_PL,LN3,-0.065454957
11,VRI_BPH_SX,LN3,-0.084683744
11,VRI_HT_FD,LN3,-0.029940715
11,B4_MEAN,LN4,0.006224638
11,B5_STDEV,LN4,-0.140384293
11,LVI_NDVI73M,LN4,0.001218558
11,LVI_WETM,LN4,0.308140741
11,MSxv,LN4,-1.044611976
11,SBSdw,LN4,-2.6121962
11,VRI_BPH_PL,LN4,-0.051734645
11,VRI_BPH_SX,LN4,-0.09725695
11,VRI_HT_FD,LN4,0.023302022
12,B5_STDEV,LN1,-0.022856376
12,LVI_NDVI73M,LN1,0.000367332
12,LVI_WETM,LN1,-0.03946648
12,MSxv,LN1,0.029697689
12,SBSdw,LN1,-2.280226191
12,VRI_BPH_PL,LN1,0.00261948
12,VRI_BPH_SX,LN1,0.008882698
12,VRI_HT_AT,LN1,0.060291579
12,VRI_HT_FD,LN1,-0.311588279
12,B5_STDEV,LN2,0.252972449
12,LVI_NDVI73M,LN2,-0.000939595
12,LVI_WETM,LN2,0.391403278
12,MSxv,LN2,0.364622371
12,SBSdw,LN2,-0.548811156
12,VRI_BPH_PL,LN2,0.008590461
12,VRI_BPH_SX,LN2,0.062771936
12,VRI_HT_AT,LN2,0.041187269
12,VRI_HT_FD,LN2,-0.061451323
12,B5_STDEV,LN3,-0.085587686
12,LVI_NDVI73M,LN3,-0.002238913
12,LVI_WETM,LN3,-0.146254591
12,MSxv,LN3,1.652256162
12,SBSdw,LN3,0.618345214
12,VRI_BPH_PL,LN3,-0.079801138
12,VRI_BPH_SX,LN3,-0.09491808
12,VRI_HT_AT,LN3,-0.043024906
12,VRI_HT_FD,LN3,-0.052345225
