LVI_FCOID,LVI_ELEV,LVI_SLOPE,LVI_ASPECT,LVI_DSPH,LVI_DVPH,LVI_AGE1,LVI_AGE2,LVI_HT1,LVI_HT2,LVI_CCPCT,LVI_CCASINS,LVI_BPH,LVI_ESI,LVI_LSPH,LVI_NPIXELS,B1_MEAN,B1_STDEV,B2_MEAN,B2_STDEV,B3_MEAN,B3_STDEV,B4_MEAN,B4_STDEV,B5_MEAN,B5_STDEV,B7_MEAN,B7_STDEV,LVI_LAIIRM,LVI_LAIIRS,LVI_LAISRM,LVI_LAISRS,LVI_PCA1M,LVI_PCA1S,LVI_PCA2M,LVI_PCA2S,LVI_NDVI35M,LVI_NDVI35S,LVI_NDVI43M,LVI_NDVI43S,LVI_NDVI45M,LVI_NDVI45S,LVI_NDVI73M,LVI_NDVI73S,LVI_BRIGHTM,LVI_BRIGHTS,LVI_GREENM,LVI_GREENS,LVI_WETM,LVI_WETS,LVI_DEMM,LVI_DEMS,LVI_SLOPEM,LVI_SLOPES,LVI_ASPECTM,LVI_ASPECTS,LVI_CENTX,LVI_CENTY,LVI_PROP_AT,LVI_PROP_FD,LVI_PROP_PL,LVI_PROP_SX,LVI_HT_AT,LVI_HT_FD,LVI_HT_PL,LVI_HT_SX,LVI_AGE_AT,LVI_AGE_FD,LVI_AGE_PL,LVI_AGE_SX,ODDS_AT,ODDS_FD,ODDS_PL,ODDS_SX,LODDS_AT,LODDS_FD,LODDS_PL,LODDS_SX,ARCSIN_AT,ARCSIN_FD,ARCSIN_PL,ARCSIN_SX,LVI_BPH_AT,LVI_BPH_FD,LVI_BPH_PL,LVI_BPH_SX,LVI_ESI_AT,LVI_ESI_FD,LVI_ESI_PL,LVI_ESI_SX,SBS,SBPS,MS,SBSmc,SBPSdc,SBPSmk,SBSdc,SBSdw,SBSmk,SBPSmc,MSmc,MSxv,SBPSxv,MSmk,SBPSxc,MSdc,LVI_BECZ,LVI_BECZS,CLASS2,CLASS3,CLASS4,CLASS5,CLASS6,CLASS7,CLASS8,CLASS9,CLASS10,CLASS11,CLASS12,CLASS13,CLASS14,CLASS15,CLASS16,CLASS17,CLASS18,CLASS19,CLASS20,CLASS21,CLASS22,CLASS23,CLASS24,CLASS25,STAGE_ELEV,STAGE_SLOPE,STAGE_COSA,STAGE_SINA,STAGE_SCOSA,STAGE_SSINA,STAGE_LES,STAGE_LESCOSA,STAGE_LESSINA,STAGE_EL2,STAGE_EL2S,STAGE_EL2SCOSA,STAGE_EL2SSINA,VRI_PROP_AT,VRI_PROP_FD,VRI_PROP_PL,VRI_PROP_SX,VRI_HT_AT,VRI_HT_FD,VRI_HT_PL,VRI_HT_SX,VRI_AGE_AT,VRI_AGE_FD,VRI_AGE_PL,VRI_AGE_SX,VRI_BPH_AT,VRI_BPH_FD,VRI_BPH_PL,VRI_BPH_SX,VRI_ESI_AT,VRI_ESI_FD,VRI_ESI_PL,VRI_ESI_SX
163886,1142.875,25.688,85.563,400,90.472,130,130,20,23,40,0.685,25,12.91,600,16,80.188,1.732,61.75,1.732,42.563,2.236,60,2.236,29.563,1,89.875,2.236,49.25,8.367,74.438,9.747,-28.497,1.673,-0.353,2.864,2691.988,288.552,5576.839,265.533,3396.456,289.106,4211.791,1111.959,20.235,0.301,3.362,0.508,-1.562,0.431,1142.875,12.124,25.688,3.635,85.563,109.59,438486.013,5874932.325,0,0,0.6,0.4,0,0,20,23,0,0,130,130,0.001,0.001,1.5,0.667,-6.704,-6.704,0.405,-0.405,0,0,0.644,0.412,0,0,15,10,0,0,12.91,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,SBPS,SBPSmk,1,2,2,2,2,6,6,6,6,9,9,9,9,9,9,16,16,16,16,16,16,16,16,16,1142.875,25.688,0.077362881,0.001350237,1.987297678,0.034684877,78.56362866,6.077908628,0.106079485,1306163.266,33552721.97,2595735.225,39.64047899,0,0,0.8,0.2,0,0,8.6,0,0,0,57,0,0,0,4.628,1.157,0,0,9,0
245807,1320.5,6.583,191.25,5,69,150,0,25,0,40,0.685,25,11.21,450,12,80.167,1.732,64.417,1.732,44.75,1.732,64,3.873,35.833,2,93.5,2.236,35.417,6.856,57.25,8.775,-20.736,4.144,0.652,3.262,3332.361,195.171,5621.39,229.06,2817.794,314.525,4463.682,147.787,21.843,0.804,3.681,1.281,-2.424,0.428,1320.5,1.607,6.583,1.552,191.25,68.473,448027.606,5856782.145,0,0,0,1,0,0,0,25,0,0,0,150,0.001,0.001,0.001,271.109,-6.704,-6.704,-6.704,5.603,0,0,0,1.571,0,0,0,25,0,0,0,11.21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,1,2,2,2,5,5,2,2,2,2,2,2,2,2,2,13,13,13,13,13,13,13,13,13,1320.5,6.583,-0.98078528,-0.017117096,-6.456509501,-0.112681846,20.54598516,-20.15119982,-0.351687609,1743720.25,11478910.41,-11258346.36,-148.7963773,0,0,0.4,0.6,0,0,0,28.6,0,0,0,282,0,0,17.395,26.092,0,0,0,7.5
311345,1253.146,6.764,183,800,144.8,110,130,18,22,25,0.524,15,12.3,700,55,75.782,1.732,59.327,2.449,39.491,2.449,46.073,5.831,32.709,2.236,93.291,2.646,28.091,6,47,8.66,-34.095,4.851,-13.547,5.599,3479.214,305.978,4862.369,408.652,1669.824,527.792,4857.381,698.13,18.435,1.145,1.181,1.009,-3.714,0.624,1253.146,4.61,6.764,2.248,183,158.317,487604.548,5839445.819,0,0,0.8,0.2,0,0,18,22,0,0,110,130,0.001,0.001,4,0.25,-6.704,-6.704,1.386,-1.386,0,0,0.927,0.201,0,0,12,3,0,0,12.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,9,9,1253.146,6.764,-0.998629535,-0.017428491,-6.754730173,-0.117886313,20.95722653,-20.92850538,-0.365252833,1570374.897,10622015.81,-10607458.7,-147.7287613,0,0,1,0,0,0,23.1,0,0,0,100,0,0,0,37.924,0,0,0,17.2,0
245813,1324.625,2.625,76.875,0,12.129,130,250,20,24,35,0.633,15,12.91,350,8,82.75,1.414,68,1.732,50.625,3.606,66.5,6.708,43.75,2.236,101.5,2.646,23.125,5.916,40,8.718,-7.87,3.346,-2.337,6.974,3673.113,344.796,5299.237,563.853,2041.502,434.822,4301.237,292.07,23.818,1.031,3.912,1.391,-3.779,0.592,1324.625,1.218,2.625,1.798,76.875,80.913,448199.241,5856749.967,0,0,0.8,0.2,0,0,20,24,0,0,130,250,0.001,0.001,4,0.25,-6.704,-6.704,1.386,-1.386,0,0,0.927,0.201,0,0,12,3,0,0,12.91,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1324.625,2.625,0.227076263,0.003963218,0.59607519,0.010403447,8.1963543,1.861197505,0.032483939,1754631.391,4605907.4,1045892.24,13.78066655,0,0,0.4,0.6,0,0,0,28.6,0,0,0,282,0,0,17.395,26.092,0,0,0,7.5
54,1277.887,2.355,74.597,1200,152.752,160,130,24,22,10,0.322,10,9.82,200,62,80,1.414,61.645,1.732,41.274,2.236,50.565,1.414,38.274,2.646,99.903,3.317,16.255,4,29.392,6.245,-23.478,3.578,-13.414,2.26,3963.291,338.96,5077.476,225.481,1391.116,371.691,5032.524,222.068,19.851,2.602,1.661,0.405,-4.535,0.639,1277.887,1.345,2.355,1.333,74.597,115.776,440912.018,5925113.18,0,0,0.25,0.75,0,0,22,24,0,0,130,160,0.001,0.001,0.333,3,-6.704,-6.704,-1.099,1.099,0,0,0.253,0.848,0,0,2.5,7.5,0,0,0,9.82,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SBS,SBSmc,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,9,9,1277.887,2.355,0.265606597,0.004635693,0.625503536,0.010917057,7.316589767,1.94333451,0.033917464,1632995.185,3845703.66,1021444.262,13.95076533,0,0,0.95,0.05,0,0,24.4,26,0,0,154,154,0,0,47.488,2.499,0,0,15.7,0
319546,1245.759,11.621,117.966,0,13.225,40,0,6,0,35,0.633,10,0,1000,29,86,6.325,75.552,7.616,57.414,9.95,99,2.646,53.69,2.646,111.828,5.385,38.31,6,61.138,7.55,20.689,10.913,20.256,3.934,4037.92,715.037,6249.19,524.176,2969.817,261.356,4095.326,962.147,30.464,1.124,9.128,1.038,-2.961,0.683,1245.759,6.224,11.621,4.021,117.966,135.219,477729.328,5838838.989,0,0,1,0,0,0,6,0,0,0,40,0,0.001,0.001,271.109,0.001,-6.704,-6.704,5.603,-6.704,0,0,1.571,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,MS,MSmk,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1245.759,11.621,-0.468947529,-0.008184587,-5.449639229,-0.095113086,35.97608857,-16.87089782,-0.294449427,1551915.486,18034809.86,-8457379.513,-118.4879825,0,0,0.2,0.8,0,0,0,23,0,0,0,169,0,0,7.482,29.927,0,0,0,8.9
93839,1139,21.286,101.286,50,26.352,160,130,22,20,30,0.58,15,8.62,400,7,85.857,2.236,68.857,3.464,46.714,3.317,76,5,40.714,4.69,97.286,4.123,40.143,6.928,63.429,9.22,-7.826,8.829,8.81,2.707,3686.568,310.583,6053.751,110.491,3040.885,333.679,4454.29,209.268,24.609,1.634,5.766,0.629,-2.256,0.67,1139,4.44,21.286,10.767,101.286,52.393,429982.447,5890578.247,0,0,0.1,0.9,0,0,20,22,0,0,130,160,0.001,0.001,0.111,9,-6.704,-6.704,-2.197,2.197,0,0,0.1,1.12,0,0,1.5,13.5,0,0,0,8.62,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SBPS,SBPSdc,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1139,21.286,-0.195706529,-0.003415717,-4.165809177,-0.072706945,65.06927667,-12.73448228,-0.222258212,1297321,27614774.81,-5404391.727,-82.81321009,0.1,0,0.6,0.3,0,0,12.4,0,0,0,80,0,1.457,0,8.744,4.372,0,0,9.9,0
64,1280.926,3.593,172.593,900,143.632,130,0,22,0,10,0.322,8,14.59,150,27,79,1.414,61.778,1.732,44.222,2.236,51.926,2.236,42.63,1.414,103.704,2.236,12.52,0,23.04,1.732,-18.324,3.177,-14.708,1.777,4135.419,240.865,4917.451,217.103,981.917,169.902,4914.409,231.125,21.127,0.614,1.806,0.381,-5.326,0.325,1280.926,2.523,3.593,1.225,172.593,97.557,441070.694,5925024.438,0,0,1,0,0,0,22,0,0,0,130,0,0.001,0.001,271.109,0.001,-6.704,-6.704,5.603,-6.704,0,0,1.571,0,0,0,8,0,0,0,14.59,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SBS,SBSmc,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,1280.926,3.593,-0.99165542,-0.017306788,-3.563017923,-0.062183289,11.1665516,-11.07337141,-0.193257142,1640771.417,5895291.703,-5846097.968,-79.65219216,0,0,0.95,0.05,0,0,24.4,26,0,0,154,154,0,0,47.488,2.499,0,0,15.7,0
311363,1267.857,10.238,38.333,600,110.9,110,130,18,22,20,0.464,10,12.3,500,21,77.381,1.414,60.81,1.732,42.143,2.236,52.81,7.28,37.857,2.646,98.619,3.317,21.462,7.616,37.538,11.358,-24.405,5.211,-10.088,6.836,3828.578,336.109,5114.505,516.49,1611.374,591.219,4904.775,229.742,20.359,1.317,2.163,1.308,-4.222,0.737,1267.857,3.745,10.238,3.054,38.333,85.637,487524.312,5839273.493,0,0,0.75,0.25,0,0,18,22,0,0,110,130,0.001,0.001,3,0.333,-6.704,-6.704,1.099,-1.099,0,0,0.848,0.253,0,0,7.5,2.5,0,0,12.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,16,16,16,16,16,16,16,16,16,1267.857,10.238,0.784419273,0.013690271,8.03088452,0.140160998,31.77273902,24.92314885,0.434977419,1607461.372,16457189.53,12909336.65,177.7041026,0,0,1,0,0,0,23.1,0,0,0,100,0,0,0,37.924,0,0,0,17.2,0
5185,1196.526,27.684,75.316,300,71.392,60,130,16,22,30,0.58,20,15.44,700,19,82.368,1.414,65.737,2,48.632,2.236,78.053,5.657,44.316,4.243,102.158,4.899,35.526,12.45,56.842,15.524,-4.406,6.208,8.12,5.49,3875.624,402.725,5998.177,278.077,2758.611,540.566,4481.727,218.103,25.357,1.187,6.175,1.009,-3.046,1.053,1196.526,13.9,27.684,8.046,75.316,43.806,451076.547,5918522.13,0.05,0,0.85,0.1,0,0,16,22,0,0,60,130,0.053,0.001,5.667,0.111,-2.944,-6.704,1.735,-2.197,0.05,0,1.016,0.1,1,0,17,2,0,0,15.44,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SBS,SBSmc,1,2,2,2,2,6,6,6,9,10,10,10,10,10,10,9,9,9,9,9,9,9,23,23,1196.526,27.684,0.253487823,0.004424183,7.01755688,0.122479073,85.21924059,21.60203974,0.377025489,1431674.469,39634475.99,10046857.02,146.5493958,0.15,0,0.85,0,12,0,13.6,0,44,0,59,0,2.945,0,16.687,0,0,0,13.3,0
