SDIASTRD7,AVGP
0.000136,0.0172413793103
0.000158,0.0344827586207
0.000204,0.051724137931
0.000597,0.0689655172414
0.000671,0.0862068965517
0.000915,0.103448275862
0.001381,0.120689655172
0.001407,0.137931034483
0.002128,0.155172413793
0.002365,0.172413793103
0.002466,0.189655172414
0.002797,0.206896551724
0.004378,0.224137931034
0.004619,0.241379310345
0.004787,0.258620689655
0.006054,0.275862068966
0.00704,0.293103448276
0.007122,0.310344827586
0.007827,0.327586206897
0.008084,0.344827586207
0.008375,0.362068965517
0.009202,0.379310344828
0.009352,0.396551724138
0.009393,0.413793103448
0.009616,0.431034482759
0.009883,0.448275862069
0.010018,0.465517241379
0.010132,0.48275862069
0.010856,0.5
0.011229,0.51724137931
0.012785,0.534482758621
0.013558,0.551724137931
0.013562,0.568965517241
0.014602,0.586206896552
0.015336,0.603448275862
0.017224,0.620689655172
0.01752,0.637931034483
0.017839,0.655172413793
0.017988,0.672413793103
0.018207,0.689655172414
0.01912,0.706896551724
0.019177,0.724137931034
0.020443,0.741379310345
0.020822,0.758620689655
0.022989,0.775862068966
0.023428,0.793103448276
0.025228,0.810344827586
0.025421,0.827586206897
0.031709,0.844827586207
0.032539,0.862068965517
0.032622,0.879310344828
0.035066,0.896551724138
0.035872,0.913793103448
0.036461,0.931034482759
0.037769,0.948275862069
0.039903,0.965517241379
0.039954,0.98275862069
0.15299,1.0
