SLOPSAN2,AVGP
0.000236107646394,0.0526315789474
0.000695157417613,0.105263157895
0.00129787938456,0.157894736842
0.00180060515993,0.210526315789
0.00220764030236,0.263157894737
0.00251166003281,0.315789473684
0.00402388039593,0.368421052632
0.00520456826274,0.421052631579
0.0052390168817,0.473684210526
0.00631140551955,0.526315789474
0.00695655289471,0.578947368421
0.00746942211343,0.631578947368
0.00860124471678,0.684210526316
0.00910650428244,0.736842105263
0.0115708316942,0.789473684211
0.0134691989165,0.842105263158
0.0143015233706,0.894736842105
0.022674511049,0.947368421053
0.0320017709394,1.0
