VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA,NVAR,UERROR,MODELID,NMODELS,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20,VARSETRANK
90,0.798,0.596,0.796,0.800,0.796,0.800,14,0.188,134,1,PCLDEND3,PCLDEND4,SAGESAND0,SDENSAN,SDENSAND10,SDIASAN3,SLOPSAN4,SPAGESTR3,SPDIASTR2,SPDIASTR5,T20_1300SD,T20_1800SD,T5_50SD,T5_75MN,N,N,N,N,N,N,0.565427027027027
91,0.697,0.394,0.692,0.702,0.673,0.720,14,0.172,135,1,BLDADEND1,PCLDEND5,RDDEND1,SAGESAND0,SDENSAND10,SDENSTR,SDENSTRD10,SDIASTRD8,SLOPSTRD0,T10_950SD,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,N,N,N,N,N,N,0.34814054054054056
92,0.737,0.474,0.731,0.745,0.714,0.760,14,-1.000,136,1,PCLDEND0,PCLDEND3,PCLDEND4,SLOPSAND6,SPAGESAN2,SPAGESTR3,SPDIASTR2,T10_350MN,T10_400MN,T10_400SD,T10_500MN,T10_800SD,T10_850SD,T20_1300SD,N,N,N,N,N,N,0.4341945945945946
93,0.798,0.596,0.788,0.809,0.776,0.820,14,0.181,137,1,BLDADEND5,PCLDEND1,RDDEND1,SAGESAND0,SDENSAND10,SDENSTRD10,SLOPSAN4,SPDIASTR2,SPDIASTRC,SSH19,T20_1300SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,0.565427027027027
94,0.737,0.475,0.725,0.750,0.720,0.755,14,-1.000,139,1,BLDADEN,BLDADEND8,BLDDEND5,RDDEND1,SDENSTR,SDIASAN3,SDIASTR1,SDIASTRD7,SLOPSAN4,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,0.43527027027027027
95,0.768,0.535,0.755,0.783,0.735,0.800,14,0.185,140,1,BLDADEND1,PCLDEND5,RDDEND1,SDENSAND10,SDENSTR,SDENSTRD10,SLOPSTRD0,SPDIASTR2,T20_1300SD,T20_1800SD,T20_1900SD,T5_200MN,T5_50SD,T5_75MN,N,N,N,N,N,N,0.49981081081081086
96,0.798,0.596,0.788,0.809,0.776,0.820,15,0.154,141,1,BLDADEN,BLDADEND5,PCLDEND1,PCLDEND5,SAGESTRD4,SDENSAND10,SDIASAN2,SPDIASTR2,T20_1100SD,T20_1600SD,T20_1700SD,T20_1900SD,T5_50MN,T5_50SD,TSLOPE,N,N,N,N,N,0.5630652173913043
97,0.747,0.495,0.740,0.755,0.740,0.755,15,-1.000,142,1,BLDADEN,BLDADEND5,BLDDEND7,PCLDEND5,RDDEND0,SAGESTR4,SDENSAND10,SDENSTR,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T20_1000MN,T20_1300SD,T5_50MN,T5_50SD,N,N,N,N,N,0.45383152173913044
98,0.808,0.616,0.804,0.812,0.796,0.820,15,-1.000,145,1,BLDADEN,OICP,PCLDEND6,RDDEND0,SDENSAN,SDENSAND10,SDIASAN3,SDIASTR1,SLOPSAN4,SLOPSAN5,SPDIASTR2,T20_1700SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,0.5846956521739131
99,0.778,0.556,0.776,0.780,0.776,0.780,15,-1.000,146,1,BLDADEN,PCLDEND4,PCLDEND5,RDDEND0,SAGESTRD10,SDENSAND10,SDENSTRD10,SDIASAN3,SLOPSAN4,SLOPSAND6,SPDIASTR2,T10_800SD,T10_850SD,T5_50MN,T5_50SD,N,N,N,N,N,0.519804347826087
100,0.798,0.596,0.778,0.822,0.755,0.840,15,0.142,148,1,BLDADEND5,PCLDEN,PCLDEND0,PCLDEND5,RDDEND1,SDENSAND10,SDENSTRD10,SDIASAN3,SPDIASTR5,T10_450MN,T10_500SD,T20_1300SD,T20_1800SD,T5_25MN,T5_50SD,N,N,N,N,N,0.5630652173913043
101,0.778,0.555,0.759,0.800,0.735,0.820,15,0.161,149,1,BLDADEN,PCLDEND3,PCLDEND4,SDENSAND10,SDIASAN1,SDIASAN2,SDIASAN3,SLOPSAN1,SLOPSAN4,SPAGESTR3,SPDIASTR2,T20_1300SD,T20_2000SD,T5_50MN,T5_50SD,N,N,N,N,N,0.5187228260869565
102,0.737,0.474,0.722,0.756,0.694,0.780,15,-1.000,150,1,HSLWP,PCLDEN,PCLDEND0,PCLDEND5,PCLDEND6,RDDEND0,SAGESAND3,SDIASTRD8,SPAGESTR3,T10_750SD,T10_850SD,T20_1100SD,T20_1600SD,T20_1700SD,TSLOPE,N,N,N,N,N,0.43111956521739125
103,0.768,0.536,0.750,0.787,0.740,0.796,16,-1.000,151,1,BLDADEN,PCLDEND1,PCLDEND2,RDDEND0,SAGESAND7,SAGESTR2,SDIASAN3,SLOPSAN4,SPAGESTR3,SPDIASTR2,T10_1000SD,T10_700SD,T10_850SD,T20_1800SD,T5_25MN,T5_50SD,N,N,N,N,0.49543169398907105
104,0.788,0.576,0.780,0.796,0.780,0.796,16,0.153,152,1,BLDADEND1,RDDEND1,SAGESAND0,SDENSAND10,SDENSTRD10,SDIASTRD8,SLOPSAN2,SLOPSAN5,SLOPSAND6,SPDIASTR3,SPDIASTRC,T20_1100SD,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,N,N,N,N,0.5389289617486338
105,0.838,0.677,0.811,0.870,0.800,0.878,16,0.136,153,1,BLDADEN,BLDADEND2,PCLDEND5,RDDEND0,SAGESTRD9,SDENSAND10,SDENSTR,SDIASAN3,SLOPSAN4,SLOPSAND6,SPDIASTR2,T10_950SD,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,N,N,N,N,0.6487595628415301
106,0.485,-0.031,0.479,0.490,0.469,0.500,16,-1.000,154,1,BLDADEND1,BLDADEND5,BLDDEND5,PCLDEND6,RDDEND1,SDIASAN3,SDIASTRD1,SDIASTRD7,SLOPSAN4,SLOPSAN5,SLOPSAND6,SPDIASTR2,T20_1300SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,-0.12114207650273223
107,0.778,0.555,0.750,0.814,0.714,0.840,16,-1.000,156,1,BLDADEND1,PCLDEND4,RDDEND1,SAGESAND0,SAGESTRD10,SDENSAND10,SDENSTRD10,SLOPSAN2,SLOPSAN5,SLOPSAND6,SPDIASTR2,T20_1600SD,T20_1700SD,T5_150MN,T5_50SD,T5_75MN,N,N,N,N,0.5160928961748634
108,0.778,0.556,0.765,0.792,0.760,0.796,16,-1.000,157,1,BLDADEN,BLDADEND8,HSLWP,PCLDEND5,RDDEND1,SAGESTR4,SDENSAND10,SDENSTR,SDENSTRD10,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T10_850SD,T20_1300SD,T5_50SD,T5_75MN,N,N,N,N,0.5171803278688525
109,0.727,0.455,0.720,0.735,0.720,0.735,16,0.142,158,1,BLDADEN,PCLDEND5,RDDEND1,SDENSAND10,SDENSTR,SDENSTRD10,SDIASTRD8,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T10_650SD,T20_1300SD,T20_1600SD,T20_1700SD,T5_25MN,T5_50SD,N,N,N,N,0.4073497267759563
110,0.808,0.617,0.778,0.844,0.760,0.857,16,0.161,159,1,BLDADEN,BLDADEND5,PCLDEND5,RDDEND1,SAGESTRD8,SDENSTR,SDIASTRD8,SLOPSAN4,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T10_1000SD,T10_850SD,T20_1800SD,T5_25MN,T5_50SD,N,N,N,N,0.5835136612021858
111,0.798,0.596,0.796,0.800,0.796,0.800,17,-1.000,161,1,BLDADEN,BLDADEND5,BLDADEND8,PCLDEND5,RDDEND0,SDENSAND10,SDENSTR,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T10_850SD,T20_1100SD,T20_1600SD,T20_1700SD,T20_2000SD,T5_50MN,T5_50SD,N,N,N,0.5582637362637363
112,0.747,0.495,0.740,0.755,0.740,0.755,17,0.125,162,1,BLDADEND1,PCLDEND5,RDDEND1,SAGESAND0,SDENSAND10,SDENSTR,SDENSTRD10,SDIASTRD8,SLOPSAN5,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T20_1300SD,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,N,N,N,0.4478296703296703
113,0.515,0.030,0.510,0.520,0.510,0.520,17,-1.000,163,1,BLDADEN,PCLDEND5,PCLDEND6,RDDEND1,SAGESAND0,SDENSAND10,SDENSTR,SDENSTRD10,SDIASTRD8,SLOPSAN4,SLOPSTRD0,T20_1100SD,T20_1600SD,T20_1700SD,T20_1900SD,T5_50MN,T5_50SD,N,N,N,-0.060604395604395594
114,0.828,0.656,0.800,0.864,0.776,0.880,17,0.165,164,1,BLDDEND6,RDDEND1,SAGESAND7,SDIASTRD0,SDIASTRD4,SDIASTRD7,SLOPSAND6,SPAGESAN1,SPDIASTRC,T10_350MN,T10_400MN,T10_450SD,T10_600MN,T10_800MN,T10_850MN,T10_900MN,T20_1300SD,N,N,N,0.623868131868132
115,0.465,-0.071,0.457,0.472,0.429,0.500,17,-1.000,165,1,BLDADEN,BLDDEND5,BLDDEND7,SAGESAND0,SAGESAND7,SDIASTRD8,SLOPSAN4,SPDIASAN1,T20_1000MN,T20_1100MN,T20_1500MN,T20_1600MN,T20_1700MN,T20_1800SD,T5_50MN,T5_50SD,TSLOPE,N,N,N,-0.17103846153846153
116,0.828,0.656,0.811,0.848,0.796,0.860,17,-1.000,166,1,BLDADEND1,L032,PCLDEND4,RDDEND1,SAGESAN1,SAGESAN2,SAGESAND0,SDENSAND10,SDENSTR,SPAGESTR3,SPDIASTR2,T20_1100SD,T20_1600SD,T20_1700SD,T20_2000SD,T5_25MN,T5_50SD,N,N,N,0.623868131868132
117,0.758,0.515,0.750,0.766,0.735,0.780,17,0.160,167,1,BLDADEN,BLDADEND5,PCLDEND4,RDDEND1,SAGESAND0,SDIASTR3,SDIASTRD8,SLOPSAN4,SLOPSAN5,SLOPSAND6,SPAGESAN2,SPDIASTR2,SPDIASTRC,SSH19,T5_25MN,T5_50SD,T5_75SD,N,N,N,0.4696978021978022
118,0.788,0.576,0.759,0.822,0.740,0.837,17,-1.000,168,1,BLDADEN,BLDADEND5,BLDADEND8,PCLDEND5,RDDEND1,SDENSTR,SDIASAN1,SDIASTRD1,SDIASTRD7,SLOPSAND6,SLOPSTRD0,SPAGESTR4,SPDIASTR2,T10_850SD,T20_1200SD,T5_50MN,T5_50SD,N,N,N,0.5363956043956043
119,0.788,0.575,0.774,0.804,0.755,0.820,17,0.155,170,1,BLDADEN,BLDADEND5,PCLDEND5,RDDEND0,SAGESAND0,SDENSAND10,SDENSTR,SLOPSAN4,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T20_1100SD,T20_1600SD,T20_1700SD,T20_2000SD,T5_50MN,T5_50SD,N,N,N,0.5353021978021978
120,0.424,-0.152,0.417,0.431,0.408,0.440,18,-1.000,171,1,BLDADEND9,L032,PCLDEND4,RDDEND1,RDDENI,SAGESAND0,SDENSAND10,SDENSTR,SDENSTRD10,SDIASAND0,SLOPSTRD0,SPAGESAN1,SPDIASTR6,T10_950SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,N,-0.2665635359116022
121,0.505,0.011,0.500,0.511,0.480,0.531,18,-1.000,172,1,BLDADEN,BLDADEND8,PCLDEND4,PCLDEND5,RDDEND2,SAGESTRD0,SDENSAND10,SPAGESTR3,SPDIASTR2,T10_850MN,T10_850SD,T10_900MN,T10_950MN,T10_950SD,T20_1100MN,T20_1800SD,T20_1900SD,TSLOPE,N,N,-0.087353591160221
122,0.798,0.596,0.778,0.822,0.755,0.840,18,0.156,173,1,BLDADEN,BLDADEND6,PCLDEND4,PCLDEND5,RDDEND0,SDENSAND10,SDENSTR,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T10_900MN,T10_950MN,T20_1100SD,T20_1600SD,T20_1700SD,T20_1800SD,T5_50MN,T5_50SD,N,N,0.5558232044198895
123,0.859,0.717,0.846,0.872,0.837,0.880,18,-1.000,174,1,BLDADEND1,BLDDEND6,PCLDEND4,SAGESAN1,SAGESAND1,SAGESTR2,SDENSAND10,SDIASAN3,SDIASTRD1,SLOPSAN4,SLOPSAND6,SPAGESTR3,SPDIASTR2,T10_700SD,T10_850SD,T20_1100SD,T5_25MN,T5_50SD,N,N,0.6888563535911602
124,0.747,0.495,0.736,0.761,0.714,0.780,18,-1.000,175,1,BLDADEN,PCLDEND6,RDDEND0,SAGESAND4,SDENSAND10,SDENSTR,SDIASTRD0,SDIASTRD8,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T10_450MN,T10_850SD,T20_1000MN,T20_1100MN,T20_1100SD,T20_1600SD,T20_1700SD,N,N,0.4447790055248619
125,0.404,-0.191,0.400,0.407,0.360,0.449,18,-1.000,176,1,PCLDEN,PCLDEND0,PCLDEND5,RDDEN,RDDEND1,SAGESTRD7,SDIASTRD8,SPAGESTR3,SPSAN,SSH18,T10_850SD,T20_1100SD,T20_1200SD,T20_1300SD,T5_250SD,T5_25MN,T5_50SD,TSLOPE,N,N,-0.30944198895027625
126,0.798,0.596,0.784,0.812,0.780,0.816,18,0.132,177,1,BLDADEN,OICP,PCLDEND5,RDDEND0,SAGESAND0,SAGESAND4,SAGESTRD9,SDENSAND10,SDENSTR,SDIASAN3,SDIASTRD8,SLOPSAN4,SPAGESTR3,T10_950SD,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,N,N,0.5558232044198895
127,0.535,0.069,0.535,0.536,0.469,0.600,18,-1.000,178,1,PCLDEND0,PCLDEND6,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD0,SDIASTRD8,SSH18,SSH19,T20_1300SD,T20_1400MN,T20_1600MN,T20_1700MN,T20_1800MN,T20_1900MN,T20_2000MN,TFLOWDIR,TSLOPE,N,N,-0.023585635359116036
128,0.838,0.676,0.804,0.884,0.776,0.900,18,0.118,179,1,PCLDEND3,PCLDEND4,RDDEND1,SAGESAND0,SAGESTRD0,SLOPSAND9,SPDIASTR5,T10_850MN,T10_900MN,T10_950MN,T20_1300SD,T20_1500MN,T20_1600MN,T20_1800MN,T20_2000SD,T5_50SD,T5_75MN,TSLOPE,N,N,0.6437790055248619
129,0.818,0.637,0.792,0.848,0.780,0.857,18,-1.000,180,1,BLDADEN,BLDADEND8,RDDEND0,SAGESAND0,SAGESTR2,SDENSAND10,SDENSTR,SDIASAN2,SLOPSAN4,SLOPSAND1,SLOPSAND6,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T20_1300SD,T20_2000SD,T5_50SD,T5_75MN,N,N,0.6009005524861879
130,0.747,0.495,0.731,0.766,0.720,0.776,19,-1.000,181,1,BLDADEN,PCLDEND6,RDDEND1,SAGESAND9,SAGESTRD8,SDENSTR,SDIASTRD8,SLOPSAND3,SLOPSAND6,SLOPSTRD0,SPAGESTR3,SPDIASTR2,T10_450SD,T10_800MN,T10_900MN,T10_950MN,T20_1100SD,T20_1600SD,T20_1700SD,N,0.44169444444444445
131,0.788,0.576,0.780,0.796,0.780,0.796,19,0.155,183,1,BLDADEN,BLDADEND5,HSLWP,PCLDEN,PCLDEND5,RDDEND0,SAGESAND0,SDENSAND10,SDENSTR,SDENSTRD10,SLOPSTRD0,SPDIASAN2,SPDIASTR2,T20_1100SD,T20_1800SD,T5_100MN,T5_150MN,T5_25MN,T5_50SD,N,0.5312444444444444
132,0.566,0.131,0.565,0.566,0.531,0.600,19,-1.000,184,1,L000,PCLDEND4,PCLDEND5,PCLP,RDDEND0,RDDENI,RDP,SDENSAND10,SDENSTR,SDENSTRD10,SDIASTR6,SLOPSTRD0,SPAGESAN1,T10_450SD,T10_950SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,0.039272222222222236
133,0.525,0.050,0.522,0.528,0.490,0.560,19,-1.000,185,1,BLDADEND1,PCLDEND4,PCLDEND6,RDDEND0,RDP,SAGESAND0,SDENSAND10,SDENSTR,SDIASTRD8,SLOPSAND6,SLOPSTRD0,SPAGESTR3,SPDIASTR2,SPDIASTR5,T20_1100SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,-0.05027777777777778
134,0.576,0.151,0.571,0.580,0.571,0.580,19,-1.000,186,1,BLDADEN,BLDADEND2,BLDADEND8,HSLWP,PCLDEND5,RDDEND0,SAGESAN4,SAGESAND9,SDENSAND10,SLOPSAND6,SLOPSTR1,SPDIASTR2,T10_400MN,T10_450SD,T10_800MN,T20_1300SD,T5_250MN,T5_25MN,T5_50SD,N,0.06138333333333333
135,0.758,0.515,0.745,0.771,0.740,0.776,19,-1.000,187,1,BLDADEN,PCLDEND4,SAGESAND0,SAGESAND7,SAGESTR3,SAGESTRD10,SAGESTRD4,SDENSAND10,SDIASAN2,SLOPSAND3,SLOPSAND6,SPDIASTR2,T10_750MN,T10_800MN,T20_1100MN,T20_1400MN,T5_200MN,T5_50SD,T5_75MN,N,0.4638055555555556
136,0.505,0.009,0.500,0.509,0.449,0.560,19,-1.000,188,1,BLDADEN,PCLDEND0,PCLDEND5,PCLDEND6,RDDEND1,RDDEND2,SDENSTR,SDIASTRD8,SLOPSAND3,SLOPSAND6,SLOPSTRD0,SPAGESTR4,SPDIASTR2,SPDIASTR5,T10_800SD,T10_850SD,T20_1300SD,T5_25MN,T5_25SD,N,-0.09560555555555557
137,0.556,0.109,0.548,0.568,0.429,0.680,19,-1.000,189,1,BLDADEN,BLDADEND8,RDDEND0,SDENSAND10,SDENSTR,SDIASTRD0,SDIASTRD8,SPAGESAN1,SPAGESTR3,T10_750MN,T10_800MN,T20_1100MN,T20_1100SD,T20_1300MN,T20_1400MN,T20_1600SD,T20_1700SD,T20_1800SD,TSLOPE,N,0.014949999999999991
138,0.848,0.697,0.843,0.854,0.837,0.860,19,-1.000,190,1,BLDADEN,PCLDEND6,RDDEND0,SAGESTRD9,SDENSTR,SDIASAN3,SLOPSAN4,SLOPSAND6,SLOPSTRD0,SPDIASTR2,SPDIASTR5,T10_1000MN,T10_850MN,T10_900MN,T10_950MN,T20_1100SD,T20_1900SD,T5_50MN,T5_50SD,N,0.6650166666666666
139,0.818,0.636,0.804,0.833,0.800,0.837,20,0.106,191,1,BLDADEN,BLDADEND1,PCLDEND3,PCLDEND4,PCLDEND5,RDDEND0,SDENSAN,SDENSAND10,SDIASAN3,SLOPSAN4,SLOPSAND6,SPAGESAN1,SPAGESTR3,SPDIASTR2,SPDIASTR5,T10_850SD,T20_1300SD,T20_1800SD,T5_25MN,T5_50SD,0.5953296089385475
140,0.838,0.677,0.837,0.840,0.837,0.840,20,-1.000,192,1,BLDADEN,PCLDEND4,PCLDEND5,RDDEND1,SAGESAND0,SAGESAND7,SAGESTR4,SDENSAND10,SDENSTRD10,SLOPSAN4,SLOPSAND6,SPDIASTR2,T10_800SD,T10_850SD,T20_1000MN,T20_1100MN,T20_1200MN,T5_200MN,T5_50SD,T5_75MN,0.6409106145251398
141,0.828,0.657,0.808,0.851,0.800,0.857,20,0.102,193,1,BLDADEND1,BLDDEN,BLDDEND6,HSLWP,L000,PCLDEND5,RDDEND1,SAGESAND0,SAGESAND7,SDENSAND10,SDENSTRD10,SLOPSAN4,SPAGESAN2,SPAGESTR3,T20_1300SD,T20_1600SD,T20_1700SD,T20_1800SD,T5_25MN,T5_50SD,0.6186759776536314
142,0.788,0.576,0.784,0.792,0.776,0.800,20,-1.000,194,1,BLDADEN,BLDDEND5,PCLDEND3,PCLDEND4,RDDEND1,SAGESAN1,SDENSAN,SDENSAND10,SDIASAN3,SDIASTR2,SLOPSAN4,SPAGESTR3,T10_850MN,T10_900MN,T20_1300SD,T20_1600SD,T20_1700SD,T20_2000SD,T5_50MN,T5_50SD,0.5286256983240223
143,0.778,0.556,0.776,0.780,0.776,0.780,20,-1.000,195,1,BLDADEN,BLDADEND8,PCLDEND0,PCLDEND5,RDDEND0,SDIASTRD8,SLOPSAND3,SLOPSAND6,SLOPSTR1,SPDIASAN2,T10_500SD,T10_850MN,T10_900MN,T10_950MN,T20_1100SD,T20_1200SD,T20_1300SD,T20_1400MN,T20_1900MN,TSLOPE,0.506391061452514
144,0.495,-0.009,0.491,0.500,0.440,0.551,20,-1.000,196,1,BLDADEN,PCLDEND5,RDDEND0,RDDEND2,SDENSAND10,SDENSTRD10,SDIASTR2,SDIASTR5,SLOPSAND6,SPAGESAN1,SPAGESAN4,SSH19,T10_1000SD,T20_1000MN,T20_1100MN,T20_1200MN,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,-0.12173743016759776
145,0.495,-0.010,0.490,0.500,0.480,0.510,20,-1.000,197,1,BLDADEN,RDDEND0,SAGESAND7,SAGESTR2,SAGESTRD6,SDENSTR,SDIASTRD10,SDIASTRD8,SLOPSAND1,SLOPSTRD0,SPAGESTR3,SPDIASAN2,T10_650MN,T10_800MN,T10_850SD,T10_900MN,T10_950SD,T20_1300SD,T20_1800SD,TSLOPE,-0.12284916201117317
146,0.778,0.556,0.765,0.792,0.760,0.796,20,-1.000,198,1,BLDADEN,BLDADEND8,OICP,RDDEND0,SDENSTR,SDIASTRD8,SLOPSAN1,SLOPSAN4,SLOPSTRD0,SPAGESTR3,T10_1000MN,T10_1000SD,T10_700MN,T10_950MN,T20_1300MN,T20_1400MN,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,0.506391061452514
147,0.818,0.636,0.804,0.833,0.800,0.837,20,-1.000,199,1,BLDADEN,BLDADEND1,PCLDEND5,RDDEND1,SAGESAND7,SAGESTR2,SDIASAN2,SDIASAN3,SLOPSAN1,SLOPSAN4,SLOPSAND6,SPAGESTR3,SPDIASTR2,T10_700SD,T10_850SD,T10_950SD,T20_1800SD,T20_1900SD,T5_25MN,T5_50SD,0.5953296089385475
148,0.455,-0.092,0.442,0.464,0.388,0.520,20,-1.000,200,1,BLDADEN,BLDADEND2,BLDADEND5,BLDDEND7,L000,SAGESAN1,SAGESTRD4,SDIASAN1,SSH18,T10_850MN,T20_1100MN,T20_1100SD,T20_1200MN,T20_1800SD,T20_1900MN,T20_2000SD,T5_100MN,T5_50SD,T5_75MN,TSLOPE,-0.21401117318435756
