VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA,NVAR,UERROR,MODELID,NMODELS,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20,VARSETRANK
27,0.677,0.354,0.660,0.696,0.640,0.714,7,0.266,65,1,RDDEND1,SDIASTR2,SDIASTRD7,SPAGESAN1,SPAGESTR3,T10_250SD,T10_450SD,N,N,N,N,N,N,N,N,N,N,N,N,N,0.3304479166666666
28,0.707,0.413,0.684,0.738,0.633,0.780,7,0.293,66,1,BLDADEND5,PCLDEN,PCLDEND0,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1100SD,N,N,N,N,N,N,N,N,N,N,N,N,N,0.3915989583333333
29,0.465,-0.070,0.462,0.468,0.440,0.490,7,-1.000,67,1,BLDADEND1,BLDADEND5,RDDEND2,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,N,-0.10901041666666667
30,0.727,0.455,0.720,0.735,0.720,0.735,7,0.266,68,1,BLDDEND2,PCLDEND0,PCLDEND4,RDDEND1,SDIASTR3,SPAGESTR3,SPDIASTR2,N,N,N,N,N,N,N,N,N,N,N,N,N,0.4351302083333334
31,0.697,0.393,0.679,0.721,0.633,0.760,7,0.291,69,1,BLDADEN,SDIASTRD7,SLOPSAND6,SPAGESAN1,SPDIASTR2,T10_850SD,T20_1000SD,N,N,N,N,N,N,N,N,N,N,N,N,N,0.37086979166666667
32,0.697,0.393,0.679,0.721,0.633,0.760,7,0.291,70,1,BLDADEN,SDIASTRD7,SLOPSAND6,SPAGESAN1,SPDIASTR2,T10_850SD,T10_950SD,N,N,N,N,N,N,N,N,N,N,N,N,N,0.37086979166666667
33,0.758,0.515,0.750,0.766,0.735,0.780,8,0.241,71,1,BLDADEN,BLDADEND5,SDIASTRD7,SLOPSAN4,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,0.49468586387434554
34,0.727,0.454,0.702,0.762,0.653,0.800,8,0.266,72,2,PCLDEN,PCLDEND0,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1100SD,T20_1600SD,T20_1700SD,N,N,N,N,N,N,N,N,N,N,N,N,0.43113089005235605
35,0.717,0.434,0.712,0.723,0.694,0.740,8,0.222,73,1,PCLDEND0,RDDEND1,SDIASTR2,T10_950SD,T20_1800SD,T20_1900SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,0.41029319371727746
36,0.505,0.009,0.500,0.509,0.469,0.540,8,-1.000,74,1,BLDADEND8,PCLDEN,PCLDEND0,RDDEND1,SDENSTR,SDIASTRD8,T10_850SD,T20_1100SD,N,N,N,N,N,N,N,N,N,N,N,N,-0.03250785340314136
37,0.707,0.414,0.706,0.708,0.694,0.720,8,0.242,75,2,BLDADEN,SDIASTRD7,SLOPSAND6,SPDIASTR2,T10_850SD,T20_1300SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,0.3894554973821989
38,0.707,0.414,0.692,0.723,0.680,0.735,8,0.238,76,1,BLDADEND5,RDDEND1,SLOPSTR1,SPDIASTR2,T10_950SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,0.3894554973821989
39,0.727,0.455,0.720,0.735,0.720,0.735,8,0.233,77,1,BLDADEN,SDENSAND10,SDENSTR,SPDIASTR2,T20_1100SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,0.43217277486911
40,0.747,0.495,0.731,0.766,0.720,0.776,8,0.236,78,1,BLDADEN,SDENSAND10,SDENSTR,SPDIASTR2,T20_1000SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,0.473848167539267
41,0.737,0.475,0.717,0.761,0.700,0.776,9,0.238,81,1,BLDADEND5,PCLDEND1,SDENSAND10,SDENSTR,SDIASTRD0,SPAGESTR3,SPDIASTR2,T20_1300SD,T20_1800SD,N,N,N,N,N,N,N,N,N,N,N,0.4501315789473684
42,0.758,0.515,0.750,0.766,0.735,0.780,9,0.222,82,1,BLDADEND5,PCLDEND1,PCLDEND4,SAGESTR3,SDENSAND10,T20_1300SD,T20_2000SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,0.4920263157894737
