T10_450MN,AVGP
0.185899218134,0.0149253731343
0.699422912572,0.0298507462687
0.846812374674,0.044776119403
0.893033250047,0.0597014925373
1.22664227213,0.0746268656716
1.28927860868,0.089552238806
1.8806026081,0.10447761194
2.46487979677,0.119402985075
3.0693526413,0.134328358209
3.07212055107,0.149253731343
4.42643944095,0.164179104478
5.14417337821,0.179104477612
5.2323554175,0.194029850746
5.38507419674,0.208955223881
5.38822064022,0.223880597015
5.40274549968,0.238805970149
5.51272943512,0.253731343284
5.75914435702,0.268656716418
6.17447246767,0.283582089552
6.2696675225,0.298507462687
6.3780389252,0.313432835821
6.56255057643,0.328358208955
6.57802315612,0.34328358209
7.38124714267,0.358208955224
7.47487030296,0.373134328358
7.80772356569,0.388059701493
8.09395457053,0.402985074627
9.37424976298,0.417910447761
9.749799947,0.432835820896
9.84381059826,0.44776119403
9.94650841214,0.462686567164
9.97730574509,0.477611940299
10.2604722009,0.492537313433
10.3322399562,0.507462686567
10.6551431307,0.522388059701
11.3020007127,0.537313432836
11.3447906009,0.55223880597
11.4196148008,0.567164179104
11.5932080492,0.582089552239
11.9812681,0.597014925373
13.0831839416,0.611940298507
13.580098197,0.626865671642
13.7846403961,0.641791044776
13.8551341313,0.65671641791
14.7386775333,0.671641791045
14.7847782454,0.686567164179
14.839388673,0.701492537313
15.5309112891,0.716417910448
15.5379462764,0.731343283582
15.5671256295,0.746268656716
16.3362598308,0.761194029851
16.8462233613,0.776119402985
17.2084314379,0.791044776119
17.2846420781,0.805970149254
17.501859696,0.820895522388
18.1350600265,0.835820895522
18.3779464361,0.850746268657
18.7849081114,0.865671641791
18.9654620468,0.880597014925
19.2751764534,0.89552238806
19.2944765193,0.910447761194
19.6031063397,0.925373134328
19.8887193525,0.940298507463
20.05027387,0.955223880597
20.6084292632,0.970149253731
21.3396822213,0.985074626866
23.0128769104,1.0
