SDIASTR3,AVGP
4.50064266473e-05,0.0204081632653
0.000158030215219,0.0408163265306
0.000369466548343,0.0612244897959
0.000737760182832,0.0816326530612
0.00090633431263,0.102040816327
0.000915676607908,0.122448979592
0.00135056366539,0.142857142857
0.00160961736749,0.163265306122
0.0018308669658,0.183673469388
0.00199832491467,0.204081632653
0.00231298039657,0.224489795918
0.00300138251904,0.244897959184
0.00302735767503,0.265306122449
0.00375908089418,0.285714285714
0.00381935762389,0.30612244898
0.00437809343588,0.326530612245
0.00449235137091,0.34693877551
0.00462023295739,0.367346938776
0.00562017989363,0.387755102041
0.00782683366418,0.408163265306
0.00794938731952,0.428571428571
0.00920132906173,0.448979591837
0.00935244172816,0.469387755102
0.00961693880584,0.489795918367
0.0109126908734,0.510204081633
0.0110028738345,0.530612244898
0.0118865116826,0.551020408163
0.0126641741671,0.571428571429
0.013560564472,0.591836734694
0.0172233438138,0.612244897959
0.0172937974208,0.632653061224
0.0175186454,0.65306122449
0.0180700691845,0.673469387755
0.0181366547542,0.69387755102
0.0197715952272,0.714285714286
0.0206325698917,0.734693877551
0.0209765440803,0.755102040816
0.0216963351086,0.775510204082
0.0229898311617,0.795918367347
0.0317072570396,0.816326530612
0.0323488897363,0.836734693878
0.0325935308941,0.857142857143
0.0326211007865,0.877551020408
0.0328987515374,0.897959183673
0.0350813042849,0.918367346939
0.0364595673491,0.938775510204
0.0373199342199,0.959183673469
0.0391327002167,0.979591836735
0.15299139077,1.0
