VARSET,MODELID,NMODELS,NVAR,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10
48,90,1,9,BLDADEN,PCLDEND4,SAGESAN1,SAGESAND1,SDENSAND10,SDENSTR,SDIASTRD8,T5_50MN,T5_50SD,N
49,91,1,10,PCLDEND0,PCLDEND6,RDDEND1,SDENSTR,SDENSTRD10,SDIASTRD8,SLOPSAN2,SLOPSAND6,SPDIASTRC,T10_750SD
50,92,1,10,OICP,PCLDEND0,PCLDEND6,RDDEND1,SAGESAND3,SDENSTRD10,SDIASTRD8,SPDIASTRC,T10_550SD,TSLOPE
51,93,1,10,PCLDEND6,RDDEND1,SAGESAND0,SDENSTR,SDENSTRD10,SDIASTRD0,SDIASTRD8,SLOPSAND6,SPAGESAN2,SPDIASTRC
52,94,1,10,HSLWP,PCLDEND0,PCLDEND4,PCLDEND6,RDDEND1,SAGESAND3,SDENSTRD10,SDIASTRD8,SPDIASTRC,T10_500SD
53,95,1,10,BLDADEN,RDDEND1,SAGESTRD10,SDENSTR,SDIASTRD8,SLOPSAN2,SLOPSAND6,SPDIASTR2,T5_25MN,T5_50SD
54,96,1,10,BLDADEN,RDDEND1,SDENSTR,SDIASTRD0,SDIASTRD8,SLOPSAND6,SPDIASTR2,SPDIASTRC,T5_25MN,T5_50SD
55,97,1,10,HSLWP,OICP,PCLDEND0,PCLDEND5,PCLDEND6,RDDEND1,SAGESAND3,SDIASTRD7,T10_550SD,TSLOPE
56,98,1,10,PCLDEND4,PCLDEND6,RDDEN,RDDEND1,SAGESAND0,SAGESTRD10,SDENSTR,SDIASTRD8,T5_25MN,T5_50SD
57,99,1,10,PCLDEND0,PCLDEND4,PCLDEND6,RDDEND1,SAGESAND3,SDENSTRD10,SDIASTRD8,SPDIASTRC,T10_500SD,TSLOPE
58,100,1,10,PCLDEND0,PCLDEND6,RDDEND1,SDENSTR,SDENSTRD10,SDIASTRD8,SLOPSAND1,SLOPSAND6,SPDIASTRC,T10_300SD
