T10_300SD,AVGP
9.40238253783,0.0153846153846
9.54320740109,0.0307692307692
9.96949875518,0.0461538461538
10.3035385072,0.0615384615385
10.7136486358,0.0769230769231
10.8632289876,0.0923076923077
11.5444800793,0.107692307692
11.6099982196,0.123076923077
11.8963381424,0.138461538462
12.2500587881,0.153846153846
12.8319050993,0.169230769231
13.3837891272,0.184615384615
13.8353406129,0.2
13.9939392702,0.215384615385
14.3532221547,0.230769230769
14.8871866945,0.246153846154
14.9160344897,0.261538461538
15.2810026886,0.276923076923
15.7138800162,0.292307692308
16.0974307572,0.307692307692
16.6489515982,0.323076923077
17.3052868414,0.338461538462
17.3219294132,0.353846153846
17.3344796633,0.369230769231
17.4675862508,0.384615384615
17.5052379027,0.4
17.5316061633,0.415384615385
18.2158606545,0.430769230769
18.2959569212,0.446153846154
19.702749878,0.461538461538
20.2356367663,0.476923076923
20.2606354034,0.492307692308
20.344702321,0.507692307692
20.6346884982,0.523076923077
20.7379466342,0.538461538462
20.7704589851,0.553846153846
20.8211086095,0.569230769231
20.900724872,0.584615384615
21.1587515873,0.6
21.6677975729,0.615384615385
21.7538713532,0.630769230769
21.8263999213,0.646153846154
22.2882684943,0.661538461538
22.4135410188,0.676923076923
22.5334038649,0.692307692308
22.6447240274,0.707692307692
22.8133728604,0.723076923077
22.8323253476,0.738461538462
23.0000733571,0.753846153846
23.1087770555,0.769230769231
24.0439245349,0.784615384615
24.1980344057,0.8
24.80590721,0.815384615385
25.2214094427,0.830769230769
25.7932786947,0.846153846154
26.1786196146,0.861538461538
26.3171759657,0.876923076923
26.5332594896,0.892307692308
26.8770263707,0.907692307692
26.8800314445,0.923076923077
27.3320867366,0.938461538462
27.5859197723,0.953846153846
28.3806769528,0.969230769231
29.7258872941,0.984615384615
29.9727599522,1.0
