"VARSET2","CLASS2","VARNAMES2","MEANS2"
18,0,"SDENSTR",0.0338100779201485
18,1,"SDENSTR",0.0406710985381146
18,0,"SDIASTRD8",0.00634682
18,1,"SDIASTRD8",0.00200787755102041
19,0,"BLDADEND5",0
19,1,"BLDADEND5",0.122448979591837
19,0,"PCLDEND0",0.04
19,1,"PCLDEND0",0.183673469387755
19,0,"SDIASTRD7",0.00619772
19,1,"SDIASTRD7",0.0135395918367347
19,0,"SPAGESTR3",0.88
19,1,"SPAGESTR3",1
19,0,"SPDIASTR2",0.62
19,1,"SPDIASTR2",0.836734693877551
20,0,"PCLDEND0",0.04
20,1,"PCLDEND0",0.183673469387755
20,0,"PCLDEND4",0.06
20,1,"PCLDEND4",0.163265306122449
20,0,"RDDEND1",0.74
20,1,"RDDEND1",0.489795918367347
20,0,"SDENSTRD10",0.82
20,1,"SDENSTRD10",0.938775510204082
20,0,"SDIASTRD8",0.00634682
20,1,"SDIASTRD8",0.00200787755102041
20,0,"SPDIASTR2",0.62
20,1,"SPDIASTR2",0.836734693877551
21,0,"PCLDEND4",0.06
21,1,"PCLDEND4",0.163265306122449
21,0,"RDDEN",0.04717518
21,1,"RDDEN",0.0415864489795918
21,0,"SAGESAND0",0
21,1,"SAGESAND0",0.000749734693877551
21,0,"SDIASTRD7",0.00619772
21,1,"SDIASTRD7",0.0135395918367347
21,0,"SPAGESTR3",0.88
21,1,"SPAGESTR3",1
21,0,"SPDIASTR2",0.62
21,1,"SPDIASTR2",0.836734693877551
22,0,"RDDEND1",0.74
22,1,"RDDEND1",0.489795918367347
22,0,"SDIASTR2",0.00896142266378901
22,1,"SDIASTR2",0.0154221872608061
22,0,"SDIASTRD7",0.00619772
22,1,"SDIASTRD7",0.0135395918367347
22,0,"SPAGESAN1",0
22,1,"SPAGESAN1",0.0408163265306122
22,0,"T10_750SD",14.5206737920415
22,1,"T10_750SD",11.8223442179202
22,0,"T20_1300SD",19.8423303420786
22,1,"T20_1300SD",8.6953707889108
23,0,"PCLDEND0",0.04
23,1,"PCLDEND0",0.183673469387755
23,0,"PCLDEND5",0.04
23,1,"PCLDEND5",0.0204081632653061
23,0,"RDDEND1",0.74
23,1,"RDDEND1",0.489795918367347
23,0,"SDIASTR2",0.00896142266378901
23,1,"SDIASTR2",0.0154221872608061
23,0,"SPAGESTR3",0.88
23,1,"SPAGESTR3",1
23,0,"SSH18",0.34
23,1,"SSH18",0.408163265306122
24,0,"PCLDEND6",0.02
24,1,"PCLDEND6",0
24,0,"RDDEN",0.04717518
24,1,"RDDEN",0.0415864489795918
24,0,"RDDEND1",0.74
24,1,"RDDEND1",0.489795918367347
24,0,"SAGESAND0",0
24,1,"SAGESAND0",0.000749734693877551
24,0,"SDENSTR",0.0338100779201485
24,1,"SDENSTR",0.0406710985381146
24,0,"SDIASTRD8",0.00634682
24,1,"SDIASTRD8",0.00200787755102041
25,0,"PCLDEND0",0.04
25,1,"PCLDEND0",0.183673469387755
25,0,"PCLDEND4",0.06
25,1,"PCLDEND4",0.163265306122449
25,0,"RDDEN",0.04717518
25,1,"RDDEN",0.0415864489795918
25,0,"SDIASTRD7",0.00619772
25,1,"SDIASTRD7",0.0135395918367347
25,0,"SPAGESTR3",0.88
25,1,"SPAGESTR3",1
25,0,"SPDIASTR2",0.62
25,1,"SPDIASTR2",0.836734693877551
25,0,"T10_500SD",9.03605763578219
25,1,"T10_500SD",10.1060732024488
26,0,"PCLDEND0",0.04
26,1,"PCLDEND0",0.183673469387755
26,0,"PCLDEND6",0.02
26,1,"PCLDEND6",0
26,0,"RDDEN",0.04717518
26,1,"RDDEN",0.0415864489795918
26,0,"RDDEND1",0.74
26,1,"RDDEND1",0.489795918367347
26,0,"SDENSTR",0.0338100779201485
26,1,"SDENSTR",0.0406710985381146
26,0,"SDIASTRD8",0.00634682
26,1,"SDIASTRD8",0.00200787755102041
26,0,"T5_50SD",0.611553045664493
26,1,"T5_50SD",1.32649040045086
27,0,"PCLDEND4",0.06
27,1,"PCLDEND4",0.163265306122449
27,0,"SAGESAND0",0
27,1,"SAGESAND0",0.000749734693877551
27,0,"SDENSAND10",0.9
27,1,"SDENSAND10",0.73469387755102
27,0,"SDENSTRD10",0.82
27,1,"SDENSTRD10",0.938775510204082
27,0,"SPAGESAN2",0.12
27,1,"SPAGESAN2",0.122448979591837
27,0,"SPAGESTR3",0.88
27,1,"SPAGESTR3",1
27,0,"T20_1200MN",10.0834178200494
27,1,"T20_1200MN",3.66833848751543
28,0,"PCLDEND4",0.06
28,1,"PCLDEND4",0.163265306122449
28,0,"PCLDEND6",0.02
28,1,"PCLDEND6",0
28,0,"RDDEN",0.04717518
28,1,"RDDEN",0.0415864489795918
28,0,"RDDEND1",0.74
28,1,"RDDEND1",0.489795918367347
28,0,"SAGESAND0",0
28,1,"SAGESAND0",0.000749734693877551
28,0,"SDENSTR",0.0338100779201485
28,1,"SDENSTR",0.0406710985381146
28,0,"SDIASTRD8",0.00634682
28,1,"SDIASTRD8",0.00200787755102041
29,0,"PCLDEND5",0.04
29,1,"PCLDEND5",0.0204081632653061
29,0,"PCLDEND6",0.02
29,1,"PCLDEND6",0
29,0,"RDDEN",0.04717518
29,1,"RDDEN",0.0415864489795918
29,0,"RDDEND1",0.74
29,1,"RDDEND1",0.489795918367347
29,0,"SAGESAND0",0
29,1,"SAGESAND0",0.000749734693877551
29,0,"SDENSTR",0.0338100779201485
29,1,"SDENSTR",0.0406710985381146
29,0,"SDIASTRD8",0.00634682
29,1,"SDIASTRD8",0.00200787755102041
30,0,"PCLDEND0",0.04
30,1,"PCLDEND0",0.183673469387755
30,0,"PCLDEND4",0.06
30,1,"PCLDEND4",0.163265306122449
30,0,"SDENSAND10",0.9
30,1,"SDENSAND10",0.73469387755102
30,0,"SDIASTRD7",0.00619772
30,1,"SDIASTRD7",0.0135395918367347
30,0,"SPAGESTR3",0.88
30,1,"SPAGESTR3",1
30,0,"SPDIASTR2",0.62
30,1,"SPDIASTR2",0.836734693877551
30,0,"T10_550SD",9.72383860789052
30,1,"T10_550SD",10.6348266376802
31,0,"PCLDEND6",0.02
31,1,"PCLDEND6",0
31,0,"RDDEN",0.04717518
31,1,"RDDEN",0.0415864489795918
31,0,"RDDEND1",0.74
31,1,"RDDEND1",0.489795918367347
31,0,"SAGESAND0",0
31,1,"SAGESAND0",0.000749734693877551
31,0,"SDENSTR",0.0338100779201485
31,1,"SDENSTR",0.0406710985381146
31,0,"SDIASTRD8",0.00634682
31,1,"SDIASTRD8",0.00200787755102041
31,0,"SPDIASTRC",1.72
31,1,"SPDIASTRC",1.79591836734694
32,0,"PCLDEND4",0.06
32,1,"PCLDEND4",0.163265306122449
32,0,"RDDEND1",0.74
32,1,"RDDEND1",0.489795918367347
32,0,"SAGESAN1",0
32,1,"SAGESAN1",0.000119215928879999
32,0,"SAGESAND0",0
32,1,"SAGESAND0",0.000749734693877551
32,0,"SAGESAND1",0.00116072
32,1,"SAGESAND1",0.000853571428571429
32,0,"SDENSAND10",0.9
32,1,"SDENSAND10",0.73469387755102
32,0,"SDENSTRD10",0.82
32,1,"SDENSTRD10",0.938775510204082
32,0,"SPAGESTR3",0.88
32,1,"SPAGESTR3",1
33,0,"PCLDEND5",0.04
33,1,"PCLDEND5",0.0204081632653061
33,0,"PCLDEND6",0.02
33,1,"PCLDEND6",0
33,0,"RDDEND1",0.74
33,1,"RDDEND1",0.489795918367347
33,0,"SAGESAND3",0.00266728
33,1,"SAGESAND3",0.00302540816326531
33,0,"SDENSTR",0.0338100779201485
33,1,"SDENSTR",0.0406710985381146
33,0,"SLOPSAND6",0.00362542
33,1,"SLOPSAND6",0.00236922448979592
33,0,"T10_300SD",4.51136074252937
33,1,"T10_300SD",7.03147601545646
33,0,"T10_400MN",4.25872614210044
33,1,"T10_400MN",2.49072750749308
34,0,"PCLDEND0",0.04
34,1,"PCLDEND0",0.183673469387755
34,0,"PCLDEND6",0.02
34,1,"PCLDEND6",0
34,0,"RDDEND1",0.74
34,1,"RDDEND1",0.489795918367347
34,0,"SDENSTRD10",0.82
34,1,"SDENSTRD10",0.938775510204082
34,0,"SDIASTRD8",0.00634682
34,1,"SDIASTRD8",0.00200787755102041
34,0,"SLOPSAN2",0.000854172520962291
34,1,"SLOPSAN2",0.00230552765168378
34,0,"SPDIASTRC",1.72
34,1,"SPDIASTRC",1.79591836734694
34,0,"T10_500SD",9.03605763578219
34,1,"T10_500SD",10.1060732024488
35,0,"PCLDEND0",0.04
35,1,"PCLDEND0",0.183673469387755
35,0,"PCLDEND4",0.06
35,1,"PCLDEND4",0.163265306122449
35,0,"PCLDEND6",0.02
35,1,"PCLDEND6",0
35,0,"RDDEND1",0.74
35,1,"RDDEND1",0.489795918367347
35,0,"SDENSTRD10",0.82
35,1,"SDENSTRD10",0.938775510204082
35,0,"SDIASTRD8",0.00634682
35,1,"SDIASTRD8",0.00200787755102041
35,0,"T10_500SD",9.03605763578219
35,1,"T10_500SD",10.1060732024488
35,0,"TSLOPE",6.55822098377637
35,1,"TSLOPE",7.50502803674389
36,0,"PCLDEND4",0.06
36,1,"PCLDEND4",0.163265306122449
36,0,"RDDEND1",0.74
36,1,"RDDEND1",0.489795918367347
36,0,"SAGESAND0",0
36,1,"SAGESAND0",0.000749734693877551
36,0,"SAGESTRD10",5.572e-05
36,1,"SAGESTRD10",0
36,0,"SDENSAND10",0.9
36,1,"SDENSAND10",0.73469387755102
36,0,"SDENSTRD10",0.82
36,1,"SDENSTRD10",0.938775510204082
36,0,"T5_25MN",0.0347096519587467
36,1,"T5_25MN",-0.00684969634391212
36,0,"T5_50SD",0.611553045664493
36,1,"T5_50SD",1.32649040045086
37,0,"PCLDEND0",0.04
37,1,"PCLDEND0",0.183673469387755
37,0,"PCLDEND4",0.06
37,1,"PCLDEND4",0.163265306122449
37,0,"RDDEND1",0.74
37,1,"RDDEND1",0.489795918367347
37,0,"SDIASTR2",0.00896142266378901
37,1,"SDIASTR2",0.0154221872608061
37,0,"SDIASTRD7",0.00619772
37,1,"SDIASTRD7",0.0135395918367347
37,0,"SLOPSAND6",0.00362542
37,1,"SLOPSAND6",0.00236922448979592
37,0,"SPDIASTRC",1.72
37,1,"SPDIASTRC",1.79591836734694
37,0,"T10_500SD",9.03605763578219
37,1,"T10_500SD",10.1060732024488
38,0,"PCLDEND4",0.06
38,1,"PCLDEND4",0.163265306122449
38,0,"RDDEND1",0.74
38,1,"RDDEND1",0.489795918367347
38,0,"SAGESAND0",0
38,1,"SAGESAND0",0.000749734693877551
38,0,"SDENSAND10",0.9
38,1,"SDENSAND10",0.73469387755102
38,0,"SDENSTRD10",0.82
38,1,"SDENSTRD10",0.938775510204082
38,0,"SDIASTRD8",0.00634682
38,1,"SDIASTRD8",0.00200787755102041
38,0,"SPDIASTR3",0.4
38,1,"SPDIASTR3",0.591836734693878
38,0,"SPDIASTRC",1.72
38,1,"SPDIASTRC",1.79591836734694
39,0,"PCLDEND0",0.04
39,1,"PCLDEND0",0.183673469387755
39,0,"PCLDEND4",0.06
39,1,"PCLDEND4",0.163265306122449
39,0,"PCLDEND6",0.02
39,1,"PCLDEND6",0
39,0,"RDDEN",0.04717518
39,1,"RDDEN",0.0415864489795918
39,0,"RDDEND1",0.74
39,1,"RDDEND1",0.489795918367347
39,0,"SAGESAND0",0
39,1,"SAGESAND0",0.000749734693877551
39,0,"SDENSTR",0.0338100779201485
39,1,"SDENSTR",0.0406710985381146
39,0,"SDIASTRD8",0.00634682
39,1,"SDIASTRD8",0.00200787755102041
40,0,"PCLDEND0",0.04
40,1,"PCLDEND0",0.183673469387755
40,0,"PCLDEND4",0.06
40,1,"PCLDEND4",0.163265306122449
40,0,"RDDEND1",0.74
40,1,"RDDEND1",0.489795918367347
40,0,"SDIASTR2",0.00896142266378901
40,1,"SDIASTR2",0.0154221872608061
40,0,"SDIASTRD7",0.00619772
40,1,"SDIASTRD7",0.0135395918367347
40,0,"SPDIASTRC",1.72
40,1,"SPDIASTRC",1.79591836734694
40,0,"T10_750SD",14.5206737920415
40,1,"T10_750SD",11.8223442179202
40,0,"T20_1300SD",19.8423303420786
40,1,"T20_1300SD",8.6953707889108
41,0,"PCLDEND0",0.04
41,1,"PCLDEND0",0.183673469387755
41,0,"PCLDEND4",0.06
41,1,"PCLDEND4",0.163265306122449
41,0,"RDDEND1",0.74
41,1,"RDDEND1",0.489795918367347
41,0,"SDENSTRD10",0.82
41,1,"SDENSTRD10",0.938775510204082
41,0,"SDIASTRD0",7.582e-05
41,1,"SDIASTRD0",0
41,0,"SDIASTRD7",0.00619772
41,1,"SDIASTRD7",0.0135395918367347
41,0,"SLOPSAND6",0.00362542
41,1,"SLOPSAND6",0.00236922448979592
41,0,"SPDIASTR2",0.62
41,1,"SPDIASTR2",0.836734693877551
41,0,"SPDIASTRC",1.72
41,1,"SPDIASTRC",1.79591836734694
42,0,"PCLDEND4",0.06
42,1,"PCLDEND4",0.163265306122449
42,0,"PCLDEND6",0.02
42,1,"PCLDEND6",0
42,0,"RDDEN",0.04717518
42,1,"RDDEN",0.0415864489795918
42,0,"RDDEND1",0.74
42,1,"RDDEND1",0.489795918367347
42,0,"SAGESAND0",0
42,1,"SAGESAND0",0.000749734693877551
42,0,"SDENSTR",0.0338100779201485
42,1,"SDENSTR",0.0406710985381146
42,0,"SDIASTRD8",0.00634682
42,1,"SDIASTRD8",0.00200787755102041
42,0,"T5_25MN",0.0347096519587467
42,1,"T5_25MN",-0.00684969634391212
42,0,"T5_50SD",0.611553045664493
42,1,"T5_50SD",1.32649040045086
43,0,"PCLDEND0",0.04
43,1,"PCLDEND0",0.183673469387755
43,0,"PCLDEND4",0.06
43,1,"PCLDEND4",0.163265306122449
43,0,"PCLDEND6",0.02
43,1,"PCLDEND6",0
43,0,"RDDEND1",0.74
43,1,"RDDEND1",0.489795918367347
43,0,"SDENSTRD10",0.82
43,1,"SDENSTRD10",0.938775510204082
43,0,"SDIASTRD8",0.00634682
43,1,"SDIASTRD8",0.00200787755102041
43,0,"SPDIASTRC",1.72
43,1,"SPDIASTRC",1.79591836734694
43,0,"T10_500SD",9.03605763578219
43,1,"T10_500SD",10.1060732024488
43,0,"TSLOPE",6.55822098377637
43,1,"TSLOPE",7.50502803674389
44,0,"BLDDEND1",0.34
44,1,"BLDDEND1",0.244897959183673
44,0,"PCLDEND0",0.04
44,1,"PCLDEND0",0.183673469387755
44,0,"PCLDEND6",0.02
44,1,"PCLDEND6",0
44,0,"RDDEND1",0.74
44,1,"RDDEND1",0.489795918367347
44,0,"SDENSTRD10",0.82
44,1,"SDENSTRD10",0.938775510204082
44,0,"SDIASTRD0",7.582e-05
44,1,"SDIASTRD0",0
44,0,"SDIASTRD8",0.00634682
44,1,"SDIASTRD8",0.00200787755102041
44,0,"SPDIASTRC",1.72
44,1,"SPDIASTRC",1.79591836734694
44,0,"TSLOPE",6.55822098377637
44,1,"TSLOPE",7.50502803674389
45,0,"BLDDEND1",0.34
45,1,"BLDDEND1",0.244897959183673
45,0,"PCLDEND0",0.04
45,1,"PCLDEND0",0.183673469387755
45,0,"PCLDEND6",0.02
45,1,"PCLDEND6",0
45,0,"RDDEND1",0.74
45,1,"RDDEND1",0.489795918367347
45,0,"SDENSTRD10",0.82
45,1,"SDENSTRD10",0.938775510204082
45,0,"SDIASTRD8",0.00634682
45,1,"SDIASTRD8",0.00200787755102041
45,0,"SPDIASTRC",1.72
45,1,"SPDIASTRC",1.79591836734694
45,0,"T10_800SD",15.0705902968437
45,1,"T10_800SD",12.1479890652947
45,0,"T20_1300SD",19.8423303420786
45,1,"T20_1300SD",8.6953707889108
46,0,"PCLDEND0",0.04
46,1,"PCLDEND0",0.183673469387755
46,0,"PCLDEND6",0.02
46,1,"PCLDEND6",0
46,0,"RDDEND1",0.74
46,1,"RDDEND1",0.489795918367347
46,0,"SAGESAND3",0.00266728
46,1,"SAGESAND3",0.00302540816326531
46,0,"SDENSTRD10",0.82
46,1,"SDENSTRD10",0.938775510204082
46,0,"SDIASTRD8",0.00634682
46,1,"SDIASTRD8",0.00200787755102041
46,0,"SPDIASTRC",1.72
46,1,"SPDIASTRC",1.79591836734694
46,0,"T10_500SD",9.03605763578219
46,1,"T10_500SD",10.1060732024488
46,0,"TSLOPE",6.55822098377637
46,1,"TSLOPE",7.50502803674389
47,0,"BLDADEND5",0
47,1,"BLDADEND5",0.122448979591837
47,0,"RDDEND1",0.74
47,1,"RDDEND1",0.489795918367347
47,0,"SDIASTRD0",7.582e-05
47,1,"SDIASTRD0",0
47,0,"SDIASTRD7",0.00619772
47,1,"SDIASTRD7",0.0135395918367347
47,0,"SDIASTRD8",0.00634682
47,1,"SDIASTRD8",0.00200787755102041
47,0,"SPDIASTR2",0.62
47,1,"SPDIASTR2",0.836734693877551
47,0,"SPDIASTRC",1.72
47,1,"SPDIASTRC",1.79591836734694
47,0,"T5_25MN",0.0347096519587467
47,1,"T5_25MN",-0.00684969634391212
47,0,"TSLOPE",6.55822098377637
47,1,"TSLOPE",7.50502803674389
48,0,"BLDADEN",0.189703653466117
48,1,"BLDADEN",0.210984005426741
48,0,"PCLDEND4",0.06
48,1,"PCLDEND4",0.163265306122449
48,0,"SAGESAN1",0
48,1,"SAGESAN1",0.000119215928879999
48,0,"SAGESAND1",0.00116072
48,1,"SAGESAND1",0.000853571428571429
48,0,"SDENSAND10",0.9
48,1,"SDENSAND10",0.73469387755102
48,0,"SDENSTR",0.0338100779201485
48,1,"SDENSTR",0.0406710985381146
48,0,"SDIASTRD8",0.00634682
48,1,"SDIASTRD8",0.00200787755102041
48,0,"T5_50MN",0.112718515996362
48,1,"T5_50MN",0.0106188036148989
48,0,"T5_50SD",0.611553045664493
48,1,"T5_50SD",1.32649040045086
49,0,"PCLDEND0",0.04
49,1,"PCLDEND0",0.183673469387755
49,0,"PCLDEND6",0.02
49,1,"PCLDEND6",0
49,0,"RDDEND1",0.74
49,1,"RDDEND1",0.489795918367347
