T10_500SD,AVGP
18.7761835283,0.0151515151515
20.9700806653,0.030303030303
21.7912040891,0.0454545454545
22.061265978,0.0606060606061
22.4040074839,0.0757575757576
22.7912732039,0.0909090909091
23.342693425,0.106060606061
23.4114393358,0.121212121212
23.6283567802,0.136363636364
24.1026471449,0.151515151515
24.4550288092,0.166666666667
24.8855018691,0.181818181818
25.3745451243,0.19696969697
25.7913142799,0.212121212121
26.2787402779,0.227272727273
26.3459674743,0.242424242424
26.3843177626,0.257575757576
26.4809311375,0.272727272727
26.8035687873,0.287878787879
26.8433824685,0.30303030303
26.9492443097,0.318181818182
26.9715804442,0.333333333333
26.9920660324,0.348484848485
27.3877187257,0.363636363636
27.403073809,0.378787878788
27.4552195374,0.393939393939
27.6834159016,0.409090909091
27.9428275079,0.424242424242
28.0365000686,0.439393939394
28.0868606412,0.454545454545
28.2164766585,0.469696969697
28.5267951482,0.484848484848
28.542848415,0.5
28.6959170661,0.515151515152
28.8500962789,0.530303030303
28.8562142735,0.545454545455
28.867644267,0.560606060606
28.9589120442,0.575757575758
29.0049524118,0.590909090909
29.0577211907,0.606060606061
29.2588196324,0.621212121212
29.352336778,0.636363636364
29.5490399062,0.651515151515
29.6000047947,0.666666666667
29.631772772,0.681818181818
30.7242639431,0.69696969697
31.4099893418,0.712121212121
31.5982457337,0.727272727273
31.6999734614,0.742424242424
32.2052978846,0.757575757576
32.379940349,0.772727272727
32.4393278887,0.787878787879
33.2898355648,0.80303030303
33.3203645963,0.818181818182
33.5788988732,0.833333333333
33.6277305641,0.848484848485
33.9574486325,0.863636363636
34.0224655734,0.878787878788
35.0199053599,0.893939393939
35.1339805394,0.909090909091
35.153107144,0.924242424242
35.2048047372,0.939393939394
36.0054274519,0.954545454545
37.0933001321,0.969696969697
40.8610392256,0.984848484848
41.7948734417,1.0
