SLOPSAN4,AVGP
6.80418976971e-13,0.0238095238095
3.14157684654e-05,0.047619047619
6.46062556063e-05,0.0714285714286
7.20322343328e-05,0.0952380952381
9.00773733575e-05,0.119047619048
0.000124113120753,0.142857142857
0.000184730715472,0.166666666667
0.000340796466213,0.190476190476
0.000352117993359,0.214285714286
0.000406771539415,0.238095238095
0.000437939326597,0.261904761905
0.000468365398401,0.285714285714
0.000542097630337,0.309523809524
0.000553125514909,0.333333333333
0.000670756775887,0.357142857143
0.000671340348681,0.380952380952
0.000702274880126,0.404761904762
0.000728764263998,0.428571428571
0.000739895252049,0.452380952381
0.000745471865138,0.47619047619
0.000835492760799,0.5
0.000835584704154,0.52380952381
0.0010369781332,0.547619047619
0.00108793750165,0.571428571429
0.0012676340328,0.595238095238
0.00129059172269,0.619047619048
0.0013993491946,0.642857142857
0.00148843596428,0.666666666667
0.00161875727723,0.690476190476
0.00165625159488,0.714285714286
0.00173271370565,0.738095238095
0.00192126685509,0.761904761905
0.00208992709709,0.785714285714
0.00216419971134,0.809523809524
0.00223162602733,0.833333333333
0.00276742564369,0.857142857143
0.00290033071227,0.880952380952
0.00318566855795,0.904761904762
0.00397909746836,0.928571428571
0.00529990057233,0.952380952381
0.0072865823865,0.97619047619
0.00879725447909,1.0
