SDENSTR,AVGP
0.00501222432067,0.010101010101
0.008366530801,0.020202020202
0.00967673795678,0.030303030303
0.0109880414195,0.040404040404
0.0116703772304,0.0505050505051
0.0118738507373,0.0606060606061
0.0125232297417,0.0707070707071
0.0145247086575,0.0808080808081
0.0146712032863,0.0909090909091
0.0158516035307,0.10101010101
0.0172233438138,0.111111111111
0.0175786486678,0.121212121212
0.0176353670408,0.131313131313
0.0188442445236,0.141414141414
0.0193724968427,0.151515151515
0.0194713775468,0.161616161616
0.0198782207221,0.171717171717
0.0198857467912,0.181818181818
0.0207766249653,0.191919191919
0.0207879099966,0.20202020202
0.020902527388,0.212121212121
0.0228078811967,0.222222222222
0.0229547693373,0.232323232323
0.0232414787074,0.242424242424
0.0237518466772,0.252525252525
0.0239570421597,0.262626262626
0.0242004811453,0.272727272727
0.0254120895068,0.282828282828
0.0256418640255,0.292929292929
0.025649462861,0.30303030303
0.0260502706724,0.313131313131
0.0265078415788,0.323232323232
0.0266409755071,0.333333333333
0.0282157612027,0.343434343434
0.0282569320981,0.353535353535
0.0289820027556,0.363636363636
0.0289965051211,0.373737373737
0.0291462546228,0.383838383838
0.0299943916332,0.393939393939
0.0306012757672,0.40404040404
0.0308056804667,0.414141414141
0.0309564398052,0.424242424242
0.0318053728826,0.434343434343
0.0326211007865,0.444444444444
0.0331379042231,0.454545454545
0.0331621359,0.464646464646
0.0336750429128,0.474747474747
0.0346312313512,0.484848484848
0.0350176638986,0.494949494949
0.0350432259647,0.505050505051
0.0355085148519,0.515151515152
0.0356661796038,0.525252525253
0.0357047125582,0.535353535354
0.0358698675007,0.545454545455
0.035923936711,0.555555555556
0.0359350645291,0.565656565657
0.036729778033,0.575757575758
0.0369404461936,0.585858585859
0.0369733281442,0.59595959596
0.0370458519271,0.606060606061
0.0371368864146,0.616161616162
0.0372563768918,0.626262626263
0.0373199342199,0.636363636364
0.0375673896354,0.646464646465
0.0384682517072,0.656565656566
0.0388839883469,0.666666666667
0.0393378352551,0.676767676768
0.039589703293,0.686868686869
0.0397840720568,0.69696969697
0.0399525581046,0.707070707071
0.0404899508571,0.717171717172
0.0405883213222,0.727272727273
0.0406447100467,0.737373737374
0.042661167063,0.747474747475
0.0427014272505,0.757575757576
0.0427292960963,0.767676767677
0.0434535414794,0.777777777778
0.043749556904,0.787878787879
0.0452387783658,0.79797979798
0.0460029710757,0.808080808081
0.0461603088651,0.818181818182
0.0528963858915,0.828282828283
0.0544672483425,0.838383838384
0.0558572635813,0.848484848485
0.056113865558,0.858585858586
0.0562611968461,0.868686868687
0.0569615279439,0.878787878788
0.0579077693272,0.888888888889
0.058087464518,0.89898989899
0.0596625625001,0.909090909091
0.060581540932,0.919191919192
0.0627006485494,0.929292929293
0.0657146144819,0.939393939394
0.0682386223708,0.949494949495
0.0736645568586,0.959595959596
0.0750131469569,0.969696969697
0.0861355484516,0.979797979798
0.103817827327,0.989898989899
0.197911287887,1.0
