VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3,Y0,Y1,Z0,Z1,DFCOEF3_ADJ,Z0_ADJ,Z1_ADJ,SD,B*,LOADING,RL,RANK
1,RDDEND1,LN1,2.10626077378,0.74,0.489795918367,1.5586329726,1.03163793001,-2.10626077378,-1.5586329726,-1.03163793001,0.488794241321,1.02952813694,1.02952813694,1.0,1.0
2,PCLDEND0,LN1,2.39725575173,0.04,0.183673469388,1.20297598182,1.9344043093,2.39725575173,1.20297598182,1.9344043093,0.315869027653,0.757218843335,0.699534699284,0.939417387156,2.0
2,SPDIASTR2,LN1,1.78562218025,0.62,0.836734693878,1.20297598182,1.9344043093,1.78562218025,1.20297598182,1.9344043093,0.447628258172,0.799294946298,0.744647383419,1.0,1.0
3,PCLDEND0,LN1,1.75184890021,0.04,0.183673469388,-0.532814905545,0.418523222666,1.75184890021,-0.532814905545,0.418523222666,0.315869027653,0.553354808706,0.582510832731,0.994733948768,2.0
3,RDDEND1,LN1,-1.44734590703,0.74,0.489795918367,-0.532814905545,0.418523222666,-1.44734590703,-0.532814905545,0.418523222666,0.488794241321,-0.707454344554,-0.655545408748,-1.11945261169,3.0
3,SDIASTR2,LN1,52.2402666641,0.00896142266379,0.0154221872608,-0.532814905545,0.418523222666,52.2402666641,-0.532814905545,0.418523222666,0.0141293219768,0.73811954785,0.585594603917,1.0,1.0
4,RDDEND1,LN1,-1.51005225882,0.74,0.489795918367,-0.568003944718,0.352978022879,-1.51005225882,-0.568003944718,0.352978022879,0.488794241321,-0.738104848206,-0.669175437257,-1.76751765542,3.0
4,SDENSTR,LN1,30.6514718468,0.0338100779201,0.0406710985381,-0.568003944718,0.352978022879,30.6514718468,-0.568003944718,0.352978022879,0.0236910427014,0.726165328382,0.378596182733,1.0,1.0
4,SDIASTRD8,LN1,-76.7146263319,0.00634682,0.00200787755102,-0.568003944718,0.352978022879,-76.7146263319,-0.568003944718,0.352978022879,0.0100227408606,-0.768890819943,-0.565938279131,-1.49483355866,2.0
5,BLDADEND5,LN1,2.53340877269,0.0,0.122448979592,0.975746900839,1.88179306848,2.53340877269,0.975746900839,1.88179306848,0.239820588476,0.607563582716,0.674603199056,1.0,1.0
5,PCLDEND0,LN1,1.96420554607,0.04,0.183673469388,0.975746900839,1.88179306848,1.96420554607,0.975746900839,1.88179306848,0.315869027653,0.620431695948,0.600965064121,0.890842298053,3.0
5,SPDIASTR2,LN1,1.44706238548,0.62,0.836734693878,0.975746900839,1.88179306848,1.44706238548,0.975746900839,1.88179306848,0.447628258172,0.647746015077,0.639721035971,0.948292324831,2.0
6,BLDADEND5,LN1,2.44441505856,0.0,0.122448979592,0.952560259941,1.890515552,2.44441505856,0.952560259941,1.890515552,0.239820588476,0.586221057822,0.659741772095,1.0,1.0
6,SDIASTRD7,LN1,29.6222115457,0.00619772,0.0135395918367,0.952560259941,1.890515552,29.6222115457,0.952560259941,1.890515552,0.0184201364495,0.545645178608,0.515014234451,0.780630022585,2.0
6,SDIASTRD8,LN1,-59.0156623368,0.00634682,0.00200787755102,0.952560259941,1.890515552,-59.0156623368,0.952560259941,1.890515552,0.0100227408606,-0.591498690319,-0.559374500218,-0.847868853963,4.0
6,TSLOPE,LN1,0.174366169707,6.55822098378,7.50502803674,0.952560259941,1.890515552,0.174366169707,0.952560259941,1.890515552,3.17069636074,0.552862179726,0.385844316009,0.584841421794,3.0
7,RDDEN,LN1,-29.7548071986,0.04717518,0.0415864489796,-0.786756709192,0.203534742386,-29.7548071986,-0.786756709192,0.203534742386,0.0272652203833,-0.811271375732,-0.256133214748,-0.448271986794,4.0
7,SAGESAND0,LN1,311.684984875,0.0,0.000749734693878,-0.786756709192,0.203534742386,311.684984875,-0.786756709192,0.203534742386,0.00173941037205,0.542148095502,0.538601126757,0.942633689343,2.0
7,SDIASTR2,LN1,33.8154714912,0.00896142266379,0.0154221872608,-0.786756709192,0.203534742386,33.8154714912,-0.786756709192,0.203534742386,0.0141293219768,0.477789684496,0.57137903392,1.0,1.0
7,SDIASTRD7,LN1,50.6471643863,0.00619772,0.0135395918367,-0.786756709192,0.203534742386,50.6471643863,-0.786756709192,0.203534742386,0.0184201364495,0.932927678775,0.498053115185,0.871668517076,3.0
8,RDDEND1,LN1,-1.64250103032,0.74,0.489795918367,-0.544830739637,0.521566642488,-1.64250103032,-0.544830739637,0.521566642488,0.488794241321,-0.802845044986,-0.61295616791,-1.18757967634,4.0
8,SAGESAND0,LN1,309.100968003,0.0,0.000749734693878,-0.544830739637,0.521566642488,309.100968003,-0.544830739637,0.521566642488,0.00173941037205,0.537653429754,0.516138984292,1.0,1.0
8,SDENSTRD10,LN1,1.29850936126,0.82,0.938775510204,-0.544830739637,0.521566642488,1.29850936126,-0.544830739637,0.521566642488,0.558290526239,0.724945474625,0.254757956371,0.493584023149,2.0
8,SDIASTRD8,LN1,-62.1031718925,0.00634682,0.00200787755102,-0.544830739637,0.521566642488,-62.1031718925,-0.544830739637,0.521566642488,0.0100227408606,-0.6224439985,-0.518392247438,-1.00436561317,3.0
9,RDDEND1,LN1,-1.46966325456,0.74,0.489795918367,-0.186823537727,0.84548607349,-1.46966325456,-0.186823537727,0.84548607349,0.488794241321,-0.718362935509,-0.624238467743,-1.34087700477,4.0
9,SDENSTRD10,LN1,1.20655754696,0.82,0.938775510204,-0.186823537727,0.84548607349,1.20655754696,-0.186823537727,0.84548607349,0.558290526239,0.673609647828,0.25944712633,0.557297737363,2.0
