TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
98,CLIMATE_All_Photoplots_MSY,Tmax12,CLP_Tmax12,float,,,Dec max mean temp (C)
99,CLIMATE_All_Photoplots_MSY,Tmin01,CLP_Tmin01,float,,,Jan min mean temp (C)
100,CLIMATE_All_Photoplots_MSY,Tmin02,CLP_Tmin02,float,,,Feb min mean temp (C)
101,CLIMATE_All_Photoplots_MSY,Tmin03,CLP_Tmin03,float,,,Mar min mean temp (C)
102,CLIMATE_All_Photoplots_MSY,Tmin04,CLP_Tmin04,float,,,April min mean temp (C)
103,CLIMATE_All_Photoplots_MSY,Tmin05,CLP_Tmin05,float,,,May min mean temp (C)
104,CLIMATE_All_Photoplots_MSY,Tmin06,CLP_Tmin06,float,,,June min mean temp (C)
105,CLIMATE_All_Photoplots_MSY,Tmin07,CLP_Tmin07,float,,,July min mean temp (C)
106,CLIMATE_All_Photoplots_MSY,Tmin08,CLP_Tmin08,float,,,Aug min mean temp (C)
107,CLIMATE_All_Photoplots_MSY,Tmin09,CLP_Tmin09,float,,,Sept min mean temp (C)
108,CLIMATE_All_Photoplots_MSY,Tmin10,CLP_Tmin10,float,,,Oct min mean temp (C)
109,CLIMATE_All_Photoplots_MSY,Tmin11,CLP_Tmin11,float,,,Nov min mean temp (C)
110,CLIMATE_All_Photoplots_MSY,Tmin12,CLP_Tmin12,float,,,Dec min mean temp (C)
111,CLIMATE_All_Photoplots_MSY,Tave01,CLP_Tave01,float,,,Jan mean temp (C)
112,CLIMATE_All_Photoplots_MSY,Tave02,CLP_Tave02,float,,,Feb mean temp (C)
113,CLIMATE_All_Photoplots_MSY,Tave03,CLP_Tave03,float,,,Mar mean temp (C)
114,CLIMATE_All_Photoplots_MSY,Tave04,CLP_Tave04,float,,,April mean temp (C)
115,CLIMATE_All_Photoplots_MSY,Tave05,CLP_Tave05,float,,,May mean temp (C)
116,CLIMATE_All_Photoplots_MSY,Tave06,CLP_Tave06,float,,,June mean temp (C)
117,CLIMATE_All_Photoplots_MSY,Tave07,CLP_Tave07,float,,,July mean temp (C)
118,CLIMATE_All_Photoplots_MSY,Tave08,CLP_Tave08,float,,,Aug mean temp (C)
119,CLIMATE_All_Photoplots_MSY,Tave09,CLP_Tave09,float,,,Sept mean temp (C)
120,CLIMATE_All_Photoplots_MSY,Tave10,CLP_Tave10,float,,,Oct mean temp (C)
121,CLIMATE_All_Photoplots_MSY,Tave11,CLP_Tave11,float,,,Nov mean temp (C)
122,CLIMATE_All_Photoplots_MSY,Tave12,CLP_Tave12,float,,,Dec mean temp (C)
123,CLIMATE_All_Photoplots_MSY,PPT01,CLP_PPT01,float,,,Jan precip (mm)
124,CLIMATE_All_Photoplots_MSY,PPT02,CLP_PPT02,float,,,Feb precip (mm)
125,CLIMATE_All_Photoplots_MSY,PPT03,CLP_PPT03,float,,,Mar precip (mm)
126,CLIMATE_All_Photoplots_MSY,PPT04,CLP_PPT04,float,,,April precip (mm)
127,CLIMATE_All_Photoplots_MSY,PPT05,CLP_PPT05,float,,,May precip (mm)
128,CLIMATE_All_Photoplots_MSY,PPT06,CLP_PPT06,float,,,June precip (mm)
129,CLIMATE_All_Photoplots_MSY,PPT07,CLP_PPT07,float,,,July precip (mm)
130,CLIMATE_All_Photoplots_MSY,PPT08,CLP_PPT08,float,,,Aug precip (mm)
131,CLIMATE_All_Photoplots_MSY,PPT09,CLP_PPT09,float,,,Sept precip (mm)
132,CLIMATE_All_Photoplots_MSY,PPT10,CLP_PPT10,float,,,Oct precip (mm)
133,CLIMATE_All_Photoplots_MSY,PPT11,CLP_PPT11,float,,,Nov precip (mm)
134,CLIMATE_All_Photoplots_MSY,PPT12,CLP_PPT12,float,,,Dec precip (mm)
135,CLIMATE_All_Photoplots_MSY,DD_0_01,CLP_DD_0_01,float,,,Jan degree days below 0C
136,CLIMATE_All_Photoplots_MSY,DD_0_02,CLP_DD_0_02,float,,,Feb degree days below 0C
137,CLIMATE_All_Photoplots_MSY,DD_0_03,CLP_DD_0_03,float,,,Mar degree days below 0C
138,CLIMATE_All_Photoplots_MSY,DD_0_04,CLP_DD_0_04,float,,,April degree days below 0C
139,CLIMATE_All_Photoplots_MSY,DD_0_05,CLP_DD_0_05,float,,,May degree days below 0C
140,CLIMATE_All_Photoplots_MSY,DD_0_06,CLP_DD_0_06,float,,,June degree days below 0C
