TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
84,LVINEW,SP_FD,SP_FD,continuous,,0,
85,LVINEW,SP_PL,SP_PL,continuous,,0,
86,LVINEW,SP_SX,SP_SX,continuous,,0,
87,LVINEW,SP_PL_P,SP_PL_P,continuous,,0,
88,LVINEW,SP_SX_P,SP_SX_P,continuous,,0,
89,LVINEW,SP_FD_P,SP_FD_P,continuous,,0,
90,LVINEW,SP_AT_P,SP_AT_P,continuous,,0,
91,LVINEW,VRI_PROP_PL,VRI_PROP_PL,continuous,,0,
92,LVINEW,VRI_PROP_SX,VRI_PROP_SX,continuous,,0,
93,LVINEW,VRI_PROP_AT,VRI_PROP_AT,continuous,,0,
94,LVINEW,VRI_PROP_FD,VRI_PROP_FD,continuous,,0,
95,LVINEW,VRI_HT_PL,VRI_HT_PL,continuous,,0,
96,LVINEW,VRI_HT_SX,VRI_HT_SX,continuous,,0,
97,LVINEW,VRI_HT_AT,VRI_HT_AT,continuous,,0,
98,LVINEW,VRI_HT_FD,VRI_HT_FD,continuous,,0,
99,LVINEW,VRI_AGE_PL,VRI_AGE_PL,continuous,,0,
100,LVINEW,VRI_AGE_SX,VRI_AGE_SX,continuous,,0,
101,LVINEW,VRI_AGE_AT,VRI_AGE_AT,continuous,,0,
102,LVINEW,VRI_AGE_FD,VRI_AGE_FD,continuous,,0,
103,LVINEW,VRI_BA_PL,VRI_BA_PL,continuous,,0,
104,LVINEW,VRI_BA_SX,VRI_BA_SX,continuous,,0,
105,LVINEW,VRI_BA_AT,VRI_BA_AT,continuous,,0,
106,LVINEW,VRI_BA_FD,VRI_BA_FD,continuous,,0,
107,LVINEW,VRI_VOL_PL,VRI_VOL_PL,continuous,,0,
108,LVINEW,VRI_VOL_SX,VRI_VOL_SX,continuous,,0,
109,LVINEW,VRI_VOL_AT,VRI_VOL_AT,continuous,,0,
110,LVINEW,VRI_VOL_FD,VRI_VOL_FD,continuous,,0,
111,LVINEW,VRI_SI_PL,VRI_SI_PL,continuous,,0,
