TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
1,SPDICT,ORIGSP,ORIGSP,string,,,
2,SPDICT,NEWSP,NEWSP,string,,,
