TVID,VARNAME,XVARSEL
322,L429,X
323,L430,X
324,L431,X
325,L432,X
326,L433,X
327,L434,X
328,L435,X
329,L436,X
330,L437,X
331,L438,X
332,L440,X
333,L442,X
334,L443,X
335,L444,X
336,L445,X
337,L446,X
338,L447,X
339,L448,X
340,L449,X
341,L450,X
342,L452,X
343,L454,X
344,L456,X
345,L458,X
346,L460,X
347,L462,X
348,L464,X
349,L466,X
350,L468,X
351,L470,X
352,L472,X
353,L474,X
354,L476,X
355,L478,X
356,L480,X
357,L488,X
358,L490,X
359,L500,X
360,L505,X
361,L510,X
362,L515,X
363,L520,X
364,L525,X
365,L530,X
366,L540,X
367,L550,X
368,L560,X
369,L570,X
370,L580,X
371,L590,X
372,L600,X
373,L601,X
374,L610,X
375,L612,X
376,L614,X
377,L615,X
378,L620,X
379,L622,X
380,L623,X
381,L625,X
382,L630,X
383,L632,X
384,L634,X
385,L640,X
386,L642,X
387,L650,X
388,L652,X
389,L654,X
390,L660,X
391,L999,X
392,LBASEMENT,X
393,LMULTIFAM,X
394,LRESIDENT,X
395,MANCOMP,N
396,MANSANP,N
397,MANSTRP,N
398,MCH050,N
399,MCH100,N
400,MCH200,N
401,MCH500,N
402,MCH500P,N
403,MCULCDH,N
404,MCULCDV,N
405,MCULCH050,N
406,MCULCH100,N
407,MCULCH200,N
408,MCULCH500,N
409,MCULCH500P,N
410,MCULCV05,N
411,MCULCV10,N
412,MCULCV20,N
413,MCULCV20P,N
414,MCULCVNEG,N
415,MCULEDH,N
416,MCULEDV,N
417,MCULP,X
418,MDITCDH,N
419,MDITCDV,N
420,MDITCH050,N
421,MDITCH100,N
422,MDITCH200,N
423,MDITCH500,N
424,MDITCH500P,N
425,MDITCV05,N
426,MDITCV10,N
427,MDITCV20,N
428,MDITCV20P,N
429,MDITCVNEG,N
430,MDITEDH,N
431,MDITEDV,N
432,MDITP,X
433,MOTHCDH,N
434,MOTHCDV,N
435,MOTHCH050,N
436,MOTHCH100,N
437,MOTHCH200,N
438,MOTHCH500,N
439,MOTHCH500P,N
440,MOTHCV05,N
441,MOTHCV10,N
442,MOTHCV20,N
443,MOTHCV20P,N
444,MOTHCVNEG,N
445,MOTHEDH,N
446,MOTHEDV,N
447,MOTHP,X
448,OBWP,X
449,OICP,X
450,OLSP,X
451,OPIP,X
452,ORLP,X
453,PCLCNT,N
454,PCLDEN,X
455,PCLDEND0,X
456,PCLDEND1,X
457,PCLDEND2,X
458,PCLDEND3,X
459,PCLDEND4,X
460,PCLDEND5,X
461,PCLDEND6,X
462,PCLDEND7,X
463,PCLDEND8,X
464,PCLDEND9,X
465,PCLDEND10,X
466,PCLDENI,X
467,PCLP,X
468,RDDEN,X
469,RDDEND0,X
470,RDDEND1,X
471,RDDEND2,X
472,RDDEND3,X
473,RDDEND4,X
474,RDDEND5,X
475,RDDEND6,X
476,RDDEND7,X
477,RDDEND8,X
478,RDDEND9,X
479,RDDEND10,X
480,RDDENI,X
481,RDP,X
482,SAGE0,N
483,SAGE1,N
484,SAGE2,N
485,SAGE3,N
486,SAGE4,N
487,SAGE5,N
488,SAGECOM0,X
489,SAGECOM1,X
490,SAGECOM2,X
491,SAGECOM3,X
492,SAGECOM4,X
493,SAGECOM5,X
494,SAGECOMD0,X
495,SAGECOMD1,X
496,SAGECOMD2,X
497,SAGECOMD3,X
498,SAGECOMD4,X
499,SAGECOMD5,X
500,SAGECOMD6,X
501,SAGECOMD7,X
502,SAGECOMD8,X
503,SAGECOMD9,X
504,SAGECOMD10,X
505,SAGED0,N
506,SAGED1,N
507,SAGED2,N
508,SAGED3,N
509,SAGED4,N
510,SAGED5,N
511,SAGED6,N
512,SAGED7,N
513,SAGED8,N
514,SAGED9,N
515,SAGED10,N
516,SAGEOTH0,X
517,SAGEOTH1,X
518,SAGEOTH2,X
519,SAGEOTH3,X
520,SAGEOTH4,X
521,SAGEOTH5,X
522,SAGEOTHD0,X
523,SAGEOTHD1,X
524,SAGEOTHD2,X
525,SAGEOTHD3,X
526,SAGEOTHD4,X
527,SAGEOTHD5,X
528,SAGEOTHD6,X
529,SAGEOTHD7,X
530,SAGEOTHD8,X
531,SAGEOTHD9,X
532,SAGEOTHD10,X
533,SAGESAN0,X
534,SAGESAN1,X
535,SAGESAN2,X
536,SAGESAN3,X
537,SAGESAN4,X
538,SAGESAN5,X
539,SAGESAND0,X
540,SAGESAND1,X
541,SAGESAND2,X
542,SAGESAND3,X
543,SAGESAND4,X
544,SAGESAND5,X
545,SAGESAND6,X
546,SAGESAND7,X
547,SAGESAND8,X
548,SAGESAND9,X
549,SAGESAND10,X
550,SAGESTR0,X
551,SAGESTR1,X
552,SAGESTR2,X
553,SAGESTR3,X
554,SAGESTR4,X
