"VARSET2","CLASS2","VARNAMES2","MEANS2"
15,1,"PCLDEND1",0.169442433019551
15,0,"RDDEN",0.0357690875462392
15,1,"RDDEN",0.0329483091962346
15,0,"RDP",0.875462392108508
15,1,"RDP",0.923968139029689
15,0,"SAGESAND9",0.00597577373612824
15,1,"SAGESAND9",0.00328886531498914
15,0,"SPDIASTRC",1.30826140567201
15,1,"SPDIASTRC",1.56408399710355
15,0,"SSH7_25",0.130702836004932
15,1,"SSH7_25",0.274438812454743
16,0,"L039",0.0104808877928483
16,1,"L039",0.0492396813902969
16,0,"OICP",0.381011097410604
16,1,"OICP",0.485155684286749
16,0,"PCLDEND1",0.237361282367448
16,1,"PCLDEND1",0.169442433019551
16,0,"RDDEN",0.0357690875462392
16,1,"RDDEN",0.0329483091962346
16,0,"RDP",0.875462392108508
16,1,"RDP",0.923968139029689
16,0,"SLOPSTR1",0.0359819949198238
16,1,"SLOPSTR1",0.0348719320600704
16,0,"SPDIASTRC",1.30826140567201
16,1,"SPDIASTRC",1.56408399710355
16,0,"SSH7_25",0.130702836004932
16,1,"SSH7_25",0.274438812454743
17,0,"BLDADEN",0.219108679613829
17,1,"BLDADEN",0.22872441890272
17,0,"L039",0.0104808877928483
17,1,"L039",0.0492396813902969
17,0,"OICP",0.381011097410604
17,1,"OICP",0.485155684286749
17,0,"RDDEN",0.0357690875462392
17,1,"RDDEN",0.0329483091962346
17,0,"RDP",0.875462392108508
17,1,"RDP",0.923968139029689
17,0,"SAGESAND9",0.00597577373612824
17,1,"SAGESAND9",0.00328886531498914
17,0,"SPDIASTRC",1.30826140567201
17,1,"SPDIASTRC",1.56408399710355
17,0,"SSH7_25",0.130702836004932
17,1,"SSH7_25",0.274438812454743
17,0,"T20_1800SD",13.8180298264012
17,1,"T20_1800SD",21.6282123972377
18,0,"BLDADEN",0.219108679613829
18,1,"BLDADEN",0.22872441890272
18,0,"BLDDEND1",0.280517879161529
18,1,"BLDDEND1",0.264301230992035
18,0,"L039",0.0104808877928483
18,1,"L039",0.0492396813902969
18,0,"OICP",0.381011097410604
18,1,"OICP",0.485155684286749
18,0,"RDDEN",0.0357690875462392
18,1,"RDDEN",0.0329483091962346
18,0,"RDP",0.875462392108508
18,1,"RDP",0.923968139029689
18,0,"SAGESAND9",0.00597577373612824
18,1,"SAGESAND9",0.00328886531498914
18,0,"SPDIASTRC",1.30826140567201
18,1,"SPDIASTRC",1.56408399710355
18,0,"SSH7_25",0.130702836004932
18,1,"SSH7_25",0.274438812454743
19,0,"BLDADEN",0.219108679613829
19,1,"BLDADEN",0.22872441890272
